city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0.924,Male,Has relevent experience,Full time course,Primary School,STEM,11,3.0,Funded Startup,1,8,0.0
0.804,Male,Has relevent experience,No Enrollment,Graduate,STEM,17,3.0,NGO,1,57,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,11,3.0,Pvt Ltd,1,32,0.0
0.92,Male,Has relevent experience,Full time course,Graduate,STEM,9,5.0,Funded Startup,1,168,0.0
0.893,Male,No relevent experience,No Enrollment,Masters,STEM,20,6.0,Pvt Ltd,2,47,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,16,8.0,Pvt Ltd,5,112,0.0
0.487,Male,Has relevent experience,Full time course,Graduate,STEM,3,4.0,Pvt Ltd,1,19,1.0
0.91,Male,No relevent experience,No Enrollment,Phd,STEM,9,6.0,Public Sector,5,90,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,5,8.0,Pvt Ltd,1,49,0.0
0.6659999999999999,Male,Has relevent experience,No Enrollment,Graduate,STEM,7,4.0,Pvt Ltd,2,68,0.0
0.92,Not provided,No relevent experience,Part time course,Graduate,STEM,2,3.0,Pvt Ltd,2,40,0.0
0.92,Not provided,No relevent experience,No Enrollment,Primary School,Humanities,0,4.0,Pvt Ltd,0,12,0.0
0.624,Not provided,No relevent experience,No Enrollment,Graduate,STEM,5,8.0,Pvt Ltd,1,5,0.0
0.91,Female,Has relevent experience,No Enrollment,Graduate,STEM,12,2.0,Pvt Ltd,3,10,0.0
0.556,Female,No relevent experience,Full time course,Graduate,STEM,1,3.0,Public Sector,1,48,1.0
0.6659999999999999,Male,No relevent experience,Full time course,Graduate,STEM,7,4.0,Pvt Ltd,0,78,1.0
0.4479999999999999,Male,No relevent experience,Full time course,High School,STEM,2,3.0,Funded Startup,1,25,1.0
0.92,Not provided,Has relevent experience,No Enrollment,Graduate,No Major,0,4.0,Pvt Ltd,1,76,0.0
0.884,Not provided,Has relevent experience,Full time course,Masters,STEM,9,8.0,Pvt Ltd,1,52,0.0
0.92,Male,No relevent experience,No Enrollment,Graduate,STEM,3,2.0,Pvt Ltd,5,9,0.0
0.698,Male,No relevent experience,No Enrollment,High School,STEM,20,5.0,Funded Startup,1,85,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,8.0,Pvt Ltd,1,170,0.0
0.6659999999999999,Male,Has relevent experience,No Enrollment,Graduate,STEM,16,4.0,Pvt Ltd,2,37,0.0
0.563,Male,No relevent experience,Full time course,Graduate,STEM,4,5.0,Funded Startup,3,13,1.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,4,8.0,Pvt Ltd,2,102,0.0
0.939,Male,Has relevent experience,Full time course,Graduate,STEM,7,4.0,Public Sector,2,59,0.0
0.926,Male,Has relevent experience,No Enrollment,Masters,STEM,16,8.0,Pvt Ltd,5,26,0.0
0.92,Other,No relevent experience,No Enrollment,Masters,STEM,4,4.0,Pvt Ltd,2,29,0.0
0.878,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,5.0,Pvt Ltd,5,77,0.0
0.91,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,14,5.0,Pvt Ltd,5,82,0.0
0.843,Male,Has relevent experience,No Enrollment,Graduate,STEM,3,4.0,Funded Startup,2,170,0.0
0.895,Male,Has relevent experience,No Enrollment,Masters,STEM,9,3.0,Funded Startup,1,81,0.0
0.836,Other,No relevent experience,No Enrollment,Primary School,Humanities,0,5.0,Pvt Ltd,0,8,0.0
0.899,Male,Has relevent experience,Part time course,High School,STEM,7,6.0,Funded Startup,1,42,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,7,2.0,Early Stage Startup,5,35,0.0
0.915,Male,Has relevent experience,No Enrollment,Graduate,STEM,16,1.0,Pvt Ltd,3,77,0.0
0.624,Male,Has relevent experience,No Enrollment,Graduate,STEM,17,8.0,Pvt Ltd,3,42,0.0
