Time,Exports Goods,Imports Goods,Exports Services Manufacturing,Exports Services Maintenance And Repair,Exports Services Transport,Exports Services Travel,Exports Services Insurance,Exports Services Government Goods And Services,Exports Services Construction,Exports Services Financial,"Exports Services Telecommunications, Computer & Information",Exports Services Charges For The Use Of Intellectual Property,"Exports Services Personal, Cultural And Recreational",Exports Services Other Business Services,Imports Services Manufacturing,Imports Services Maintenance And Repair,Imports Services Transport,Imports Services Travel,Imports Services Insurance,Imports Services Government Goods And Services,Imports Services Construction,Imports Services Financial,"Imports Services Telecommunications, Computer & Information",Imports Services Charges For The Use Of Intellectual Property,"Imports Services Personal, Cultural And Recreational",Imports Services Other Business Services
  2022 4Q,184495.6,142788.6,70.4,3288.1,32061.5,5749,2413,111.8,309.1,14181.6,7924.2,4230.8,884.8,30681.4,2428.3,228.4,30989.6,6897.8,2041.9,80.5,204.6,3869,9622,5379.4,354.8,27729.9
  2022 3Q,212381.4,162626.6,88,2618.2,36038,4798.3,2507.4,111.6,284.3,13972.4,8042,4212.4,920.2,28364.9,3010.1,278.8,31825.1,6176.9,2005.3,76.1,203,3846.9,9388,5461.6,346.7,27824.4
  2022 2Q,213445.5,160826.4,77.4,2462.3,36509.1,3518.1,2809.7,110.4,290.8,13461.1,7897,4713.8,858.2,28333.6,2962,244.9,32374.9,5614.4,2162,60.4,187.5,3914.5,9049.1,5521.3,333,27570.1
  2022 1Q,188684.3,144528.4,76.9,2323.7,35397.3,2193.9,2479.7,109.1,269.3,13245.9,8104.9,3858.2,881.7,27698.9,2535.2,240,31824.6,2387.8,2005.7,107.8,219.2,3877.3,8964.7,5430,331.1,28356.6
  2021 4Q,191091.7,144404.1,83.4,2511,32424.2,1619.7,2204.6,106.2,287,13253,7743.7,4170,896,28902.2,2593.7,227.6,30992.9,1711.8,1976.1,84.9,187.2,3946.1,9203.1,5683.9,332.4,28039.8
  2021 3Q,175413.4,130250.2,80.1,2221.5,30690.4,1288.4,2371.4,105.6,290.7,12995.6,7953.4,3844.5,864.6,26617.2,2551.1,274.3,29790.4,1413.2,2010.3,65.9,201,3889.4,9100.7,5519.9,321.2,26610.8
  2021 2Q,168534.6,124331.6,73,2206.6,30497.5,1310.9,2464.7,105.3,261.1,13141.3,7773.1,3571.7,814.2,26201,2546.5,240,29383.7,1244.5,2009.2,59.9,207.2,3890.5,8937.7,5455.5,315.5,26182.7
  2021 1Q,156231.4,123345.5,58.5,2174,30272.1,1301.9,2229.9,104.9,284,13203.2,7765,3299.9,864.1,24578.6,2210.5,235.9,28438.1,1191.1,1905.9,89.2,186.2,3811.3,8952.3,5273.2,326.8,26411.9
  2020 4Q,152361.9,113825.7,57.6,1891.1,22294.1,1069.2,2289.5,102.9,356.3,12676.6,6585.6,3518.4,274.2,24268.3,2306.3,224.9,26995.4,966.1,2457,77,180.4,3488.4,7963.9,5225.1,284.2,24553.7
  2020 3Q,146313.8,107453.1,51.8,1975.5,22062.7,975.6,2072.7,102.8,249.2,12145.4,6884.5,2987.7,255.2,22066.2,1936.4,279.9,25138.2,883.3,2157.2,66.4,120.8,3332.3,7879.1,5240.4,254.9,23170.7
  2020 2Q,132102.2,94082.6,52.4,2071.7,20622.1,948.9,1964.4,102.8,215.3,12360.4,6859.7,2696.5,244,20187.3,2265.4,246,23316.4,875.9,2127.2,47.7,117.9,3279.6,7818.4,5030.7,221.1,22140.9
  2020 1Q,148632.2,117222.8,58.7,3056,24768.1,4394.5,2109.5,103.4,394,12600.7,6659.1,2908.4,251,22551.1,2611.4,245.2,26198.7,7056.7,2344.2,97.8,250.5,3366.2,7923.2,5038.2,266,24159.8
  2019 4Q,155080.1,122244.4,63.5,2845.5,22421.9,7053.3,2402.3,104.6,452.3,12280.6,4897.4,2858.6,287.7,21835.6,2074.3,274.4,22154.7,9761.1,1966.7,87.7,161.1,3253.6,5678.6,5216.7,277.4,21649.3
  2019 3Q,152132.7,117190,67.3,2687.3,21762.9,7245.7,2140.8,104.7,428.9,11345.3,4966.5,2913.4,278.4,21485.1,2036.9,332.3,21777.1,9074.8,1835,70.8,164.8,2310.5,5740.1,5173.2,259.3,20879.5
  2019 2Q,151260.9,116433.6,63.3,2632.8,22133.5,6680.3,2137.5,105.1,405.9,11285.9,5198.5,2847.6,268.4,20405.1,1958.2,294.7,22827.8,9326.9,1909.1,56.8,149.1,2202.4,5763.6,5237.5,248,20898.9
  2019 1Q,144366.7,113520,59.7,2385.1,21305.2,6713.5,2100.7,104.8,412.5,11005.4,5049.9,3238.5,274.3,20087.8,1858.9,288.1,21485.6,8735.2,1796.3,100.3,164.3,2043.9,5765.3,5055.2,247.5,21085.5
  2018 4Q,159687.2,120265.5,82.2,2486.1,21285.7,6531.2,2417.2,103.2,401.5,10895,5218.9,2611,274.8,18514.1,1907.5,232.5,21714.7,9581.7,1665.1,87.5,200.2,2915.7,5098.8,5775.1,228.8,20792.8
  2018 3Q,161410.4,123715.7,97.8,2418.2,20996.3,7227.4,2489.5,103.4,395,10709.4,5291.4,2922.1,271,18016.3,1931.3,278.2,21314.9,8761.7,1712.7,66.2,176.7,1997.5,5023,5887.4,224.4,20170.4
  2018 2Q,155463.8,121065.2,95.2,2456.9,20567.8,6755.7,2387.5,103.4,384.7,10440.3,5080.1,3483.2,262.1,17508.6,1892.7,242.4,21157.5,8958.7,1649.8,51.2,171.7,1814.7,4933.5,5838.5,224.7,19878.7
  2018 1Q,145100.9,115746.5,87.4,2728.6,20453.9,7016.4,2190.6,103.5,429.4,10623.8,4971.6,2827.1,263.6,16896.2,1845.4,238.4,20808.9,8436.6,1615.4,106.2,195.4,2125.7,4758.2,5765.3,226.6,20087.3
  2017 4Q,152303,116834.5,60.1,2315.2,17582.6,6581.8,1882.1,102,268.4,9801.8,4461.1,2864.9,176.3,15373.9,2171.1,191,18311.2,9176.4,1524.8,70.7,140.2,2044.2,5186.9,5593.3,153.5,20698.9
  2017 3Q,144415.3,109096.4,60.4,2070.2,16887.7,7043.9,1697.6,102.2,250.4,9468.8,4511.1,2730.8,171,14954,1942.3,230.4,17463.7,8239.5,1410.2,64,131.2,1936,5184.8,5633.2,146.6,19884.3
  2017 2Q,140554.1,106470.1,63.1,1949.4,16820.8,6847.1,1656.6,102.3,247.8,9166.7,4584.1,2957.5,161,14589.2,1957.6,202.1,17475.4,8692.1,1405.8,48.6,118.7,1809.8,5207.1,5484.3,143.3,19444.6
  2017 1Q,138758.8,104255.1,59.6,1881.5,15838.8,7027.3,1473.9,102.4,244.9,8833.7,4731.1,2503.8,166.1,13816.6,2123.9,198.2,17133.2,8200.2,1208,110.1,124.3,1900.9,5228.9,5122.5,141.1,19271.6
  2016 4Q,138902.2,108324.2,75.7,2291,14815.5,6399.8,1463.5,100.9,376.4,8830.5,3908.5,2383.5,197.6,13775.5,1845.1,218.2,15509.8,8783.2,1475.4,68.8,119.4,1706.3,4374.6,5789.9,144,16937.1
  2016 3Q,129084.6,95976.2,74.5,2080.8,14375.6,7153.4,1448.6,101.2,342.6,7263.8,4244.8,2359.7,193.8,13068.3,1925.4,256.6,14726.3,7832.5,1497.8,62.2,122.5,1529.1,4396.3,5281.5,135.8,15602
  2016 2Q,127565.5,96184.8,67.1,2304.8,14559,6726.6,1598.6,101.3,336.8,7064.4,4261.9,2742.2,180.6,12996.1,2079.1,225.4,15263,8444,1498.9,73.4,128.6,1520.8,4420.6,5345.2,132.2,15667.8
