Time,Cessation Manufacturing,Cessation Construction,Cessation Wholesale Trade,Cessation Retail Trade,Cessation Transportation & Storage,Cessation Accommodation,Cessation Food & Beverage Services,Cessation Information & Communications,Cessation Finance & Insurance,Cessation Real Estate,Cessation Professional Services,Cessation Administrative & Support Services,"Cessation Education, Health & Social Services","Cessation Arts, Entertainment, Recreation & Other Services",Cessation Others
  2023 Jan,161,179,742,442,234,10,186,392,264,50,569,189,186,228,15
  2022 Dec,186,153,654,496,215,5,209,403,289,47,604,179,194,203,19
  2022 Nov,168,209,818,528,253,10,275,464,293,44,685,223,219,271,36
  2022 Oct,184,202,743,553,281,2,284,429,355,51,641,194,224,241,34
  2022 Sep,185,232,828,516,280,11,246,455,294,47,678,228,195,275,33
  2022 Aug,186,213,764,524,260,4,245,479,240,53,619,195,220,237,19
  2022 Jul,190,208,826,469,286,13,213,426,305,46,687,203,214,284,19
  2022 Jun,200,165,720,513,295,4,172,426,225,49,565,160,217,264,23
  2022 May,171,247,769,477,280,8,233,415,282,49,673,203,193,215,27
  2022 Apr,221,197,765,547,280,4,245,424,305,47,685,229,233,262,24
  2022 Mar,164,184,753,487,261,4,216,382,270,48,650,172,199,230,27
  2022 Feb,154,192,685,421,224,7,208,373,275,40,601,201,210,215,24
  2022 Jan,150,178,692,424,230,8,216,596,247,38,546,168,176,224,25
  2021 Dec,155,187,759,460,238,6,176,388,315,43,611,192,234,249,30
  2021 Nov,183,176,825,424,257,11,214,438,300,61,583,180,166,216,26
  2021 Oct,165,162,733,486,255,9,225,397,302,46,601,163,209,246,26
  2021 Sep,158,167,753,447,248,8,201,402,287,44,570,207,192,247,24
  2021 Aug,180,211,758,461,281,6,227,451,322,58,676,197,202,212,25
  2021 Jul,178,208,876,525,298,6,227,570,332,57,702,211,229,273,30
  2021 Jun,151,180,692,468,273,2,245,397,282,33,602,214,241,221,24
  2021 May,176,224,858,478,318,8,220,617,353,45,692,210,225,267,27
  2021 Apr,162,174,661,390,254,8,173,417,286,59,620,213,217,226,22
  2021 Mar,184,189,721,460,242,12,215,527,317,47,636,191,232,236,27
  2021 Feb,117,152,628,360,222,9,169,421,285,43,502,176,166,171,26
  2021 Jan,167,168,592,355,255,5,163,364,223,54,573,183,188,204,24
  2020 Dec,176,205,725,444,249,11,222,437,293,72,648,223,241,257,30
  2020 Nov,141,168,608,395,267,5,199,431,254,53,531,170,183,195,25
  2020 Oct,97,98,342,295,212,10,103,217,131,21,343,118,140,171,2
  2020 Sep,168,176,830,442,345,8,215,654,427,67,833,214,278,255,32
  2020 Aug,72,52,178,209,184,2,74,69,33,10,176,79,63,127,3
