Time,Aircraft Arrivals And Departures ,Total Passengers ,Total Mail 
  2022 Dec,25352,4620193,1795
  2022 Nov,23651,3963295,1817
  2022 Oct,21784,3687774,1355
  2022 Sep,20430,3421600,1343
  2022 Aug,20433,3319381,1371
  2022 Jul,20275,3300213,1600
  2022 Jun,18380,2927392,1436
  2022 May,17109,2465500,1471
  2022 Apr,15055,1932520,1750
  2022 Mar,13172,1141411,1620
  2022 Feb,10852,702917,1401
  2022 Jan,12175,719926,1547
  2021 Dec,12151,817092,1910
  2021 Nov,10441,395289,1719
  2021 Oct,10185,255148,1961
  2021 Sep,9427,219506,1895
  2021 Aug,9294,211408,1945
  2021 Jul,9400,203701,2059
  2021 Jun,8821,178361,1856
  2021 May,8702,171277,1901
  2021 Apr,8166,173061,2068
  2021 Mar,8103,165638,2335
  2021 Feb,6707,117513,1729
  2021 Jan,7495,144931,2054
  2020 Dec,7525,151860,2363
  2020 Nov,6572,110737,2289
  2020 Oct,5890,98290,1927
  2020 Sep,5623,90241,1915
  2020 Aug,5562,84296,2500
  2020 Jul,5247,85981,3054
  2020 Jun,4779,48241,2496
  2020 May,4472,24504,1633
  2020 Apr,3865,25189,931
  2020 Mar,16223,1649662,2558
  2020 Feb,26231,3446022,3159
  2020 Jan,33435,5950940,4025
  2019 Dec,33344,6414495,5255
  2019 Nov,31598,5718386,4573
  2019 Oct,31958,5646643,3760
  2019 Sep,31179,5469342,3478
  2019 Aug,32364,5900629,3416
  2019 Jul,32389,5910782,3253
  2019 Jun,31391,5816089,2954
  2019 May,31671,5407308,3292
  2019 Apr,31454,5580503,3189
  2019 Mar,32371,5630780,3448
  2019 Feb,29894,5131807,2664
  2019 Jan,32729,5656076,3282
  2018 Dec,33417,6127843,4077
  2018 Nov,31909,5408993,3780
  2018 Oct,32759,5376234,3191
  2018 Sep,31395,5225903,3100
  2018 Aug,32888,5682688,2996
  2018 Jul,32706,5723094,2944
  2018 Jun,31874,5565775,2889
  2018 May,32332,5294980,3206
  2018 Apr,31990,5430745,3489
  2018 Mar,32585,5555117,3778
  2018 Feb,29701,4932345,2786
  2018 Jan,32486,5303639,3859
  2017 Dec,32956,5861990,4119
  2017 Nov,31140,5173747,3768
  2017 Oct,31733,5155327,3200
  2017 Sep,30492,4927561,3366
  2017 Aug,31747,5265703,2949
  2017 Jul,31908,5415734,3113
  2017 Jun,30915,5208779,2952
  2017 May,31197,5003578,3359
  2017 Apr,30569,5168548,3223
  2017 Mar,30916,5112576,3430
  2017 Feb,28032,4669729,2817
  2017 Jan,31596,5256301,3478
  2016 Dec,31974,5676648,3860
  2016 Nov,29708,4784818,3500
  2016 Oct,30614,4768937,3113
  2016 Sep,29330,4584383,2847
  2016 Aug,30257,4923309,2743
  2016 Jul,30793,5181108,2780
  2016 Jun,29345,4838307,2818
  2016 May,30221,4781918,3049
  2016 Apr,29460,4793662,3286
  2016 Mar,30125,4902767,3281
  2016 Feb,28518,4602026,2558
  2016 Jan,30145,4860156,3055
  2015 Dec,30621,5293165,3654
  2015 Nov,28729,4636752,3307
  2015 Oct,29610,4600789,3199
  2015 Sep,28464,4421554,2859
  2015 Aug,29606,4955301,2725
  2015 Jul,29412,4893574,2642
  2015 Jun,28531,4699589,2605
  2015 May,29042,4480261,2708
  2015 Apr,28256,4391381,2488
