Time,Contracts Residential,Contracts Commercial,Contracts Industrial,Contracts Institutional & Others,Contracts Civil Engineering
  2022 Dec,483.2,258.6,331.6,222.5,1567.2
  2022 Nov,1753.4,58.4,98.9,757.5,153.2
  2022 Oct,525.5,40,268,291.2,409.7
  2022 Sep,203,106,202.1,103.8,1492.7
  2022 Aug,441.4,182.4,469.8,203.9,598.1
  2022 Jul,1004.4,80.8,1002.3,361.6,798.4
  2022 Jun,298.2,433.9,192.7,1257.4,429.6
  2022 May,1062.7,14.7,123.8,212.6,786.4
  2022 Apr,423.1,44.5,204.8,205.1,432.5
  2022 Mar,468.8,328.6,1152.1,285.6,918.2
  2022 Feb,1134,86.9,152.7,239,1535.5
  2022 Jan,1391.6,10.4,239.3,154.5,1098
  2021 Dec,212.1,40,435.5,35.1,992.6
  2021 Nov,660.2,70.3,470.7,161.5,1181.1
  2021 Oct,922.6,83.9,1168.2,93.6,151.3
  2021 Sep,1072,392.3,322.6,156.6,800.5
  2021 Aug,1077.7,306.7,120.3,659.4,409.2
  2021 Jul,1020.1,386.1,437.5,56.3,953.6
  2021 Jun,465.5,601,682.1,163.6,262
  2021 May,565.5,455.4,269.2,128.4,1479
  2021 Apr,1045.5,64,226.6,789.7,1907.7
  2021 Mar,335.6,317.5,477.3,367.8,1030.5
  2021 Feb,614.3,15.1,143.1,101.4,167.1
  2021 Jan,1234.5,27.3,234.8,638.1,275.6
  2020 Dec,900.1,52.6,557,75.5,69.9
  2020 Nov,180.1,34,377.5,291.4,1033.8
  2020 Oct,931.8,141.9,186,87.4,253.9
  2020 Sep,373.4,133.1,629.1,46.1,329.7
  2020 Aug,57.6,46.6,117.7,318.5,54.3
  2020 Jul,249.6,17,85.1,148.9,945.3
  2020 Jun,482.2,382.3,636.8,227.5,167.6
  2020 May,230.8,276.6,149.3,564.7,208.5
  2020 Apr,345.5,35.3,868.6,803.8,407.3
  2020 Mar,869.9,237.7,567.2,136.2,490.2
  2020 Feb,508.2,152.1,172.1,135.3,1070.4
  2020 Jan,309.6,114.6,358.3,948.4,463.3
  2019 Dec,1113.8,48.7,44.5,205.1,1294.9
  2019 Nov,627.6,30.1,131,661.8,1126.7
  2019 Oct,731.8,130.9,206.1,1099.2,554.4
  2019 Sep,615.3,149.3,355.3,544.2,1174.7
  2019 Aug,163.2,198.7,1609.8,136.4,220.2
  2019 Jul,1165.3,136.3,817.3,2118.3,210.9
  2019 Jun,729.8,329.1,441.8,574.3,1036.6
  2019 May,651,134.6,998.1,176.4,498.9
  2019 Apr,941.2,51.2,175.6,187.7,350.1
  2019 Mar,689.4,98.4,1014.7,507.1,1139
  2019 Feb,366.4,484.3,1171.8,188.2,300.4
  2019 Jan,775.5,53.3,540,187.5,1109.8
  2018 Dec,1078.6,86.1,330.8,234.6,3897
  2018 Nov,736.6,191.3,146.3,159.8,208.9
