Time,"Food, Beverages And Tobacco Index",Household Equipment And Furniture Index,Petroleum And Petroleum Products Index,Chemicals And Chemical Products Index,Electronic Components Index,Industrial And Construction Machinery Index,Telecommunications And Computers Index,"Metals, Timber And Construction Materials Index",General Wholesale Trade Index,Ship Chandlers And Bunkering Index,Other Wholesale Trade Index
  2022 4Q,121.1,72.7,116.1,109.7,63,89.5,100.8,79.9,117.4,136.7,121.5
  2022 3Q,115.4,81.2,115.2,124,67.1,93.3,104.4,83.6,122.8,136.3,125.8
  2022 2Q,110.6,79.2,123.2,172.5,68,82,120.4,91.9,119.7,123.5,129.2
  2022 1Q,114.9,71.3,99.3,159.9,63.9,84.4,106.8,89.9,119.8,105.8,131.1
  2021 4Q,117.6,84.2,107.5,142.7,58.9,88.8,120.6,85,130.3,116.1,108.1
  2021 3Q,102.6,65.1,102.5,103.1,60.2,87.8,100.5,79.7,132.9,95.9,110.5
  2021 2Q,102.3,75.4,100.7,104.3,56.9,82.3,103.4,89.9,131,87.1,109.7
  2021 1Q,107.4,72.7,92,104.4,55.6,77.7,86.2,77.4,116,84.4,107.8
  2020 4Q,107.1,71.4,68.9,87.4,55.1,88.7,97.7,72.8,113.8,66.9,90.2
  2020 3Q,101.6,71,63.1,74.3,54.7,74.7,84.3,56.1,91.9,65.3,90.7
  2020 2Q,106.3,47.3,57.2,69,50.7,59.9,98.7,42,103.3,50.9,71.6
  2020 1Q,112,75.9,107.9,85.4,51.8,91.9,90.2,66.5,103.3,88.5,83.6
  2019 4Q,108.2,105,123,82.5,57.5,99.8,109.8,79,105.3,96.2,91.6
  2019 3Q,103.1,94.3,132.8,95.8,59.9,99.2,96.2,85.1,103.3,94.5,92.8
  2019 2Q,101.2,102.3,127.4,95,61,97.7,106.6,80.3,107.8,102.9,95.7
  2019 1Q,107.2,91.8,117.1,95.7,61.8,99,106.8,82,102.9,93.6,87.4
  2018 4Q,113.7,117.2,152.5,119,77.5,97.6,99.2,95.9,103.8,111.8,92.2
  2018 3Q,103.7,104.8,149.1,117.6,99.9,95.7,94.4,93.2,103.5,110.1,91.9
  2018 2Q,102.1,107.5,129.8,103.5,106.9,91.3,103.2,83.8,96.1,99.9,89.1
  2018 1Q,102.9,100.9,116.4,93.7,92.7,85.7,97.9,77.3,100.8,90.6,85.4
  2017 4Q,100.6,108.2,107.3,97.8,103.1,108.2,117.8,93.8,98.3,103.3,102.1
  2017 3Q,99.4,88.5,96.1,101.1,97,102.7,85.6,100.8,96.6,101.8,95.2
  2017 2Q,99.2,103.4,105.9,98.6,105.3,94.5,91.9,103.6,101.7,96.1,98.8
  2017 1Q,100.8,99.9,90.6,102.5,94.6,94.5,104.7,101.9,103.5,98.8,103.9
  2016 4Q,101,151.1,96.6,99.3,102,113.3,104.1,96.7,113.1,94.3,100.4
  2016 3Q,103.4,119.1,78.5,98.8,94.2,99.4,88.7,99.6,88.8,79.2,90.6
  2016 2Q,95.8,105.4,77.4,98.8,89.3,99.4,95.2,110.7,85.1,67.6,97.9
