,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Unemployment Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Unemployment Rate Aged 15 Years And Over, End June, Annual, Seasonally Adjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 16/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER & SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per Cent
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 
"Total Unemployment Rate, (SA)",2.1,2.7,2.9,2.3,2.1,2.2,2.1,2,1.9,2,1.9,2,2.2,3.2,2.2,2.3,2.7,3.3,3.6,3.6,3.4,2.2,3.4,2.7,1.9,1.4,1.8,1.9,1.6,1.8,1.8
"Resident Unemployment Rate, (SA)",2.8,3.5,4,3.2,2.9,3.1,3,2.8,2.8,2.9,2.8,2.9,3.1,4.5,3,3.1,3.5,4.4,4.7,4.7,4.5,3,4.6,3.7,2.5,1.8,2.2,2.3,2,2.1,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total population comprises residents and non residents.  Residents comprise Singapore citizens and permanent residents.  Data is based on mid-year Labour Force Survey except Census years 1970, 1980, 1990, 2000 and General Household Surveys 1995 & 2005.  Data exclude construction workers living at worksites and workers who commute daily from abroad to work in Singapore, except for Census years and General Household Survey 2005.  To facilitate comparison with 2008, 2007 Labour Force Survey data have been adjusted based on Singapore Department of Statistics' revised population estimates (released in February 2008) which exclude Singapore residents who have been away from Singapore for a continuous period of 12 months or longer. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 27/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
