Time,Restaurants Index,Fast Food Outlets Index,Food Caterers Index,"Cafes, Food Courts & Other Eating Places Index"
  2022 4Q,99.7,142.3,84.7,115.2
  2022 3Q,95.6,137.1,72.2,112.9
  2022 2Q,95.3,123.7,54.6,105.7
  2022 1Q,83.8,121.2,42.3,98
  2021 4Q,79.8,122.3,36.5,100.5
  2021 3Q,60.3,119.6,31.1,93.5
  2021 2Q,58.9,112.9,27.7,88.8
  2021 1Q,81.2,116.6,30.2,95.7
  2020 4Q,84.4,118.2,25.6,96.5
  2020 3Q,72.3,106.2,37.1,88.3
  2020 2Q,33.8,86.3,48.8,61.4
  2020 1Q,86.9,117.1,75.3,96.7
  2019 4Q,108.6,119.8,102.7,105.8
  2019 3Q,103.4,120.1,104.6,105.3
  2019 2Q,99.1,111.4,95.2,101.3
  2019 1Q,103.7,110.4,104.1,100.8
  2018 4Q,103.7,109.9,104.4,103
  2018 3Q,99.5,109.8,101.8,102.9
  2018 2Q,95.9,104.6,91.9,98.1
  2018 1Q,102.6,104,103.2,97.7
  2017 4Q,101.8,105.1,100.7,99.7
  2017 3Q,96.5,103.7,104.8,102.3
  2017 2Q,95.3,97,87.9,98.4
  2017 1Q,106.4,94.2,106.5,99.7
  2016 4Q,103,100,102.1,98.6
  2016 3Q,104.4,99.7,100.3,100.7
  2016 2Q,102.3,91.2,91.2,99.6
  2016 1Q,108.9,92.8,99.2,96.6
  2015 4Q,112,95.9,96.3,94
  2015 3Q,107.9,93.9,100.6,96.3
  2015 2Q,105.5,92.2,94.3,94
  2015 1Q,116.9,91,99.8,92.6
  2014 4Q,120.2,94.6,97.7,99.1
  2014 3Q,113.8,90.2,103.7,97.1
  2014 2Q,112.6,93.5,92.8,95.8
  2014 1Q,118.3,90.9,102.1,93.5
  2013 4Q,117.9,93.1,105.6,94.4
  2013 3Q,112.8,90,102.6,95.7
  2013 2Q,116.2,91.5,99.1,93.7
  2013 1Q,118.9,88.6,102.2,89.3
  2012 4Q,115.4,90.9,101.7,94.4
  2012 3Q,109.5,87.4,98.9,95
  2012 2Q,110.7,89.7,97.5,92.9
  2012 1Q,115.1,87.2,98.8,90
  2011 4Q,113,90.7,95.6,91.8
  2011 3Q,106.1,86.8,91.3,91.2
  2011 2Q,105.7,88.1,89.4,89.2
  2011 1Q,109.1,80,90,83.8
  2010 4Q,108.5,82.3,89.2,86.9
  2010 3Q,101.5,78.3,84.4,84.2
  2010 2Q,100.8,78.9,81.3,83.7
  2010 1Q,104.1,75.2,81.7,78.1
  2009 4Q,99.5,77.8,81.4,82.8
  2009 3Q,95.5,72.8,73.4,81.7
  2009 2Q,94.2,72.4,72.4,80.1
  2009 1Q,97.9,69.5,77.9,78.2
  2008 4Q,99.9,74.9,87.1,88.7
  2008 3Q,93.6,69.2,87.5,87.2
  2008 2Q,92.7,68.3,86.8,85.5
  2008 1Q,98.9,65.1,86.3,80.7
  2007 4Q,94.9,66.2,87.5,85.4
  2007 3Q,90.5,62.4,84.9,81.1
  2007 2Q,85,63.5,79.3,78.7
  2007 1Q,91.2,62.5,77.8,71.8
  2006 4Q,92.6,62.3,80.1,74
  2006 3Q,84.7,60.5,80.5,72.9
  2006 2Q,84.4,61.5,76.5,70.4
  2006 1Q,90.4,57.8,75.1,69.9
  2005 4Q,85.4,59.9,78.3,70.3
  2005 3Q,82.7,58.1,76.3,70.6
  2005 2Q,75.7,56.2,78.1,70.7
  2005 1Q,83.6,59.1,77.2,66.8
  2004 4Q,83.3,57.8,77.2,71.2
  2004 3Q,74.9,58.4,77.2,68.4
  2004 2Q,71.9,59.3,77.2,69.6
  2004 1Q,76.7,58.9,77.2,70.2
