Time,"FDI Food, Beverages & Tobacco","FDI Paper, Paper Products & Printing",FDI Refined Petroleum Products,FDI Chemical & Chemical Products,FDI Pharmaceutical & Biological Products,FDI Rubber & Plastic Products,FDI Basic Metals,FDI Fabricated Metal Products,FDI Machinery & Equipment,FDI Electrical Machinery & Apparatus,"FDI Instrumentation, Photographic & Optical Goods",FDI Transport Equipment,FDI Construction,FDI Wholesale Trade,FDI Retail Trade,FDI Accommodation & Food Services,FDI Water Transport & Supporting Services,FDI Land & Air Transport & Supporting Services,"FDI Warehousing, Post & Courier Service",FDI Information & Communications,FDI Financial Services,FDI Banks,FDI Holding Companies,FDI Other Financial Services,FDI Insurance Services,FDI Real Estate,FDI Professional And Administrative & Support Services,FDI Others
2021,35536.8,845.7,27951.9,22834.1,14690.5,1775.2,70.7,3295.9,30272,1254.5,4980.8,10476.2,6674.1,349882.2,5374.9,7490.1,60374.8,-512.5,25368.7,45405.5,1386978.5,21746.5,1238995.9,126236.1,26515.4,44173.3,226482.9,11671.1
2020,35215.9,858.4,24684.4,19836.4,15754.3,2208.3,-157.9,3238.1,25794.5,1257.9,4570.1,10319.4,6755.5,310810.3,5057.5,7743.9,34292.4,-573.6,8801.6,34439.2,1176601.2,20427.9,1041387.2,114786,26684.9,46671.5,223066.2,9975.9
2019,42528.8,830.5,26611.2,19716.6,13101.9,1990.9,-124.4,3477.3,20501.7,1242.1,3394.3,12136.3,7912.1,275900.2,4678.7,6379.2,26304.2,-1199.8,7913.4,32411.3,1010838.4,22284.8,891238.7,97314.8,23525.9,46572.8,217896.8,16795.8
2018,35836.7,560.9,26895.1,17878.4,30439.4,1930.1,-111.2,3498.6,16478.5,1539.6,11308,9833.5,7258.6,272946.9,4351.6,6277.3,25497.6,-597.9,7186.8,35976,887804.4,19466.9,808524.5,59813,20985.8,44853.7,159952.1,17754.1
2017,19714.1,565.4,23326.9,16416.3,13128.3,1679.8,144.1,3526.3,22135.6,1622.9,13298,9364.1,5200.8,276250.9,3766,6746.2,23107.4,-857.6,7494.8,32381.8,844405.6,19532.9,770743.3,54129.4,20035.3,41414.5,105785.6,14544.5
2016,9823.8,465.6,21911.8,16745.5,13688.4,1603.4,116.9,2967.9,18585.6,1245.5,12600.5,9697.3,4198.5,292661.8,3176.8,6499.6,21129.8,-459.7,7264.9,19388.2,651998.8,19354.6,580859,51785.1,19770,38217.6,103858.6,14648
2015,8980.3,515.8,19173.1,14692.9,22751.5,1310.5,252.5,2755.5,16361.7,1788.5,12044.4,6904.7,3664.7,282552.7,2961.7,6365.9,32855.8,-298.1,7839.3,21039.3,566106.8,17637.1,505075.1,43394.6,18012.7,34250.8,111456.5,14682
2014,6739.8,424.3,26148.3,11836.9,15403.7,1489.2,303.4,2796.6,15541.9,1303.9,10292.9,6035.9,3944.5,237735.2,2882.1,5313.6,31519.2,-167.9,7058,17958.9,501983.9,16936.3,442603.5,42444.1,15465.9,37127.8,81836.6,12694.4
2013,5965,674.3,24952.9,12094,34099.1,1604.1,365.6,3293.2,13227.4,1131.3,7231.5,4331.6,3448.3,186316,2699,4049.7,27055.2,-103.9,6186.2,11725.8,392073.2,16624.7,343839.4,31609.1,12951.2,31892,57710.7,9937.6
2012,4082.7,757.6,20748.8,11002.5,28320.4,995.5,145.9,2335,10855,1203.6,5700.1,3509.7,2570.3,163681.4,3021,4906.7,28657.3,-168.8,6211,11270.1,364320,17134.7,322186.1,24999.2,11579.4,29551.2,46312.7,8839.5
2011,3762.9,912.6,21427.5,9253.5,43431.6,862.6,222.8,2035.9,9817.1,967.9,6525.6,2731.2,2516.1,122421.1,2580.8,4610.5,26458.7,-268.3,4097.4,7056.8,303319.7,14550.6,265707.7,23061.4,8767.3,25760.4,45938.9,9198.3
2010,3188.4,684.8,20625.4,9026.7,41485.3,1394.6,154.4,1732.5,8452.5,1349.7,6230.5,2866.7,1400.4,111651.1,2442.4,4132.4,30453.7,-281.9,3920.3,7625.8,295090,14479.5,257243.4,23367.1,8442.8,21400,38544.8,7499.7
2009,2650.5,552.8,19693.8,8078.5,36198.4,1601.4,177,1846,6166.6,1464.3,6125.9,1960.5,2744.7,98877.3,2480.4,3487.5,34460.7,-145,3095.5,5778.1,236151,14349.8,203356.5,18444.7,7951.2,15800.1,35237.1,7117.7
2008,1378.8,711.9,14569.8,7092.5,30872.5,1313.2,487.3,1885.5,6192.6,1211.2,2111.9,3698.5,1915.8,90982.2,1969.5,3355.6,33589.5,-312.5,3051.8,5131.7,202529.9,13057.9,168948.9,20523,7596.9,14697.8,35594.8,5159.3
2007,1627.4,668.9,14146.3,6889.8,47879.8,1002,625,1827,5184.9,818.3,2763.2,3394.5,1517.8,75060.8,2011.3,3012.7,27574.5,-206.4,3157.2,4885.5,187916,11319.2,161934.3,14662.6,7442,12895.5,22605.3,2212
2006,1334.5,649.2,14335.7,6706.8,38339.7,1153.9,334.9,1469,4294.9,857.2,1618.2,3153.8,758.8,60957,1960.4,2795.2,20669.9,-93.8,2649.3,3565.8,139877.5,9884.1,120158.4,9834.9,7013,8197.7,13407.1,980.7
2005,621.4,813.8,13937.8,7458.7,38679.8,940,22.8,1366.8,3553.1,1183.5,1473.5,2561.9,924.8,53452.2,1095.9,2043.9,15894,-88.7,1846.2,3692.6,115975.9,9741,95332.2,10902.8,5683.3,6680.3,12532.8,421.8
2004,498.8,651.8,13665.5,6478.7,31864.9,1044.9,40,1318,2690.7,1272.7,2304,3150.3,1128,42306.3,979.2,2522.9,11412.8,-54.2,1731.4,3445.8,97943.8,8844.8,79886.6,9212.4,3965.4,6713.2,9339.7,150.2
2003,465.7,634,13636.9,5212.1,29312.9,959.4,35.1,1229.9,2778.8,1291,1826.6,2764.5,1407.2,36499.8,887.9,2515.5,8658.8,-79.7,1634.8,3109,82904,8927.1,67334.4,6642.5,3526.2,6360.9,8588.3,151.7
2002,447.2,777,12620,5902.3,21991.1,818.2,37.7,1308.3,3472.2,1115.1,1524.2,1838.4,1941.9,33868.6,1767.1,2302.3,7593,15.1,1470.5,2953.3,74914.9,8393.9,60892.6,5628.4,2849.4,6634.8,8645,312.1
2001,472.1,723.1,12272.5,4202.6,17443.1,730.3,35.1,1173.5,3295.8,1396.6,1322.7,1566.2,1717.7,28906.5,1562.9,2398.1,7169.2,8.7,1424.2,1898.5,73725.6,8776.2,59321,5628.4,2706.2,5945.1,7319.4,486.3
2000,426.1,744.9,7183.3,3462.1,13234.8,647,35.6,1101.7,2462.5,1137.9,1147.1,1461.5,2078.5,26633.3,814.7,2015.9,6764.9,128.1,1553,1190.6,66263.1,8975.7,51852.1,5435.4,2176.7,6381.6,6186.3,188.2
1999,504.2,703.8,4674.7,3442.8,11105.7,746.6,47,993.1,2310.4,1089,977.3,1291,1505.1,24785.4,1223.2,1993.7,4645.1,289.4,1024.2,873.7,62185.4,8393.5,48472.1,5319.8,2462,5620.7,5695.8,377.4
1998,478.9,734.7,3858,4470.7,9956.5,649.2,23.5,1065.9,1940.5,1245.5,705.3,1299.1,1432.9,19342.5,722.7,986.1,4167.6,127.3,911.9,768.7,51704.3,8121.4,39040.6,4542.3,2221.4,5333.7,4362.3,184.9
