Time,Formation Manufacturing,Formation Construction,Formation Wholesale Trade,Formation Retail Trade,Formation Transportation & Storage,Formation Accommodation,Formation Food & Beverage Services,Formation Information & Communications,Formation Finance & Insurance,Formation Real Estate,Formation Professional Services,Formation Administrative & Support Services,"Formation Education, Health & Social Services","Formation Arts, Entertainment, Recreation & Other Services",Formation Others
  2023 Jan,183,248,708,461,201,11,221,690,546,50,900,211,280,293,33
  2022 Dec,197,247,804,422,172,3,214,693,678,56,879,196,257,293,24
  2022 Nov,232,266,901,410,216,6,233,777,703,60,983,212,296,330,36
  2022 Oct,192,251,829,405,218,3,289,691,592,75,780,199,238,322,28
  2022 Sep,192,290,855,455,226,8,322,743,723,80,909,228,282,330,26
  2022 Aug,216,291,912,523,243,19,295,856,703,59,897,209,227,379,30
  2022 Jul,190,236,808,472,218,9,302,723,736,51,900,200,229,336,27
  2022 Jun,196,306,754,384,229,7,303,763,698,50,857,186,222,383,32
  2022 May,198,259,751,379,207,5,260,734,610,66,884,190,239,342,25
  2022 Apr,203,268,723,376,220,2,301,729,818,74,887,192,215,424,23
  2022 Mar,226,315,717,504,238,5,310,858,720,78,891,177,236,344,32
  2022 Feb,207,281,578,391,205,4,234,729,622,44,764,159,209,268,22
  2022 Jan,188,251,691,462,196,3,272,760,704,49,839,174,223,255,22
  2021 Dec,196,240,683,415,211,5,268,828,746,51,765,157,213,298,36
  2021 Nov,199,251,770,477,218,11,271,831,777,56,761,172,247,286,29
  2021 Oct,203,229,625,749,232,6,312,632,719,64,803,146,242,267,39
  2021 Sep,226,256,652,728,220,2,334,658,734,64,800,154,248,291,18
  2021 Aug,216,250,675,794,255,7,288,588,708,52,808,152,266,293,29
  2021 Jul,248,256,722,725,247,5,306,621,759,57,808,191,262,341,39
  2021 Jun,237,238,683,740,262,5,293,686,698,65,825,154,261,301,22
  2021 May,190,228,634,701,230,9,296,602,635,40,829,129,267,269,32
  2021 Apr,236,265,712,706,266,4,400,661,693,69,910,203,322,363,34
  2021 Mar,264,298,806,834,262,4,444,728,730,73,956,197,329,434,41
  2021 Feb,181,216,599,595,204,2,298,470,521,40,768,146,272,255,25
  2021 Jan,267,292,777,807,261,4,424,566,627,69,948,190,340,344,36
  2020 Dec,212,249,762,776,213,5,355,558,568,73,819,164,294,325,32
  2020 Nov,237,238,849,832,221,4,359,578,560,57,847,178,299,329,45
  2020 Oct,251,277,990,954,280,10,428,611,592,95,946,214,320,372,44
  2020 Sep,231,237,1043,900,270,9,366,609,581,63,885,175,299,348,31
  2020 Aug,264,205,1205,955,318,6,336,705,474,43,931,179,245,314,30
  2020 Jul,247,214,1232,965,286,3,315,595,529,53,837,188,287,325,24
  2020 Jun,241,148,1043,995,268,2,237,617,442,44,790,192,235,273,36
  2020 May,155,92,692,668,169,2,135,420,349,30,597,102,187,169,37
  2020 Apr,130,102,693,543,232,5,138,444,365,21,632,112,177,153,21
  2020 Mar,205,226,852,480,212,6,216,489,531,51,877,246,267,268,43
  2020 Feb,131,209,741,399,215,6,204,491,481,47,863,231,235,235,27
  2020 Jan,167,205,899,476,240,5,196,547,530,53,960,244,283,251,26
  2019 Dec,153,165,891,432,249,10,181,507,589,47,795,209,212,236,39
  2019 Nov,167,186,937,455,252,5,241,623,679,47,810,208,273,271,28
  2019 Oct,179,215,993,520,237,7,253,626,564,67,891,236,275,332,38
  2019 Sep,189,190,934,527,302,6,282,645,590,63,969,224,288,305,35
  2019 Aug,185,176,875,460,260,6,261,594,570,72,875,229,247,281,35
  2019 Jul,214,250,925,559,295,6,275,668,585,63,1005,252,288,338,40
  2019 Jun,140,205,754,431,201,7,222,525,478,41,808,192,237,280,32
  2019 May,193,258,834,494,260,12,255,555,514,75,900,228,282,318,35
  2019 Apr,167,267,874,517,208,10,288,559,509,41,902,225,284,306,25
  2019 Mar,177,324,842,492,244,13,281,548,509,64,977,245,283,338,33
  2019 Feb,141,192,665,391,191,11,183,422,358,44,732,202,223,235,25
  2019 Jan,197,288,896,520,271,8,263,562,522,67,920,285,321,309,43
  2018 Dec,120,192,736,372,247,15,199,427,422,39,693,177,178,256,19
  2018 Nov,182,204,812,433,209,6,251,571,489,45,796,206,255,256,27
  2018 Oct,186,263,891,454,258,11,289,641,525,50,960,229,306,297,35
  2018 Sep,153,199,839,373,206,9,269,581,507,40,823,226,282,272,33
  2018 Aug,166,223,908,486,227,9,301,840,490,53,976,219,328,296,29
  2018 Jul,173,241,857,474,254,8,310,865,488,68,933,249,282,322,31
  2018 Jun,135,203,801,434,233,10,299,698,548,55,914,215,265,262,30
  2018 May,169,229,873,455,261,7,334,767,519,72,921,242,326,262,37
  2018 Apr,181,282,936,439,284,10,286,695,469,62,953,255,289,317,17
  2018 Mar,138,259,852,459,331,8,305,726,516,75,954,258,315,310,43
  2018 Feb,124,168,693,348,202,5,216,698,390,57,775,200,243,207,23
  2018 Jan,192,253,968,489,302,5,282,686,503,76,1035,257,331,296,33
  2017 Dec,130,176,733,344,261,11,225,432,403,65,682,175,257,210,24
  2017 Nov,150,225,854,441,308,6,322,521,515,76,804,208,315,277,29
  2017 Oct,153,204,805,491,295,7,296,476,450,68,837,259,338,274,44
  2017 Sep,148,225,823,443,480,5,276,494,443,67,763,220,267,254,27
  2017 Aug,179,249,877,483,547,7,312,457,495,79,889,252,319,298,31
  2017 Jul,181,275,837,456,681,8,306,520,396,60,859,260,299,306,20
  2017 Jun,148,254,819,457,826,7,272,460,420,72,804,228,247,255,31
  2017 May,189,258,929,514,854,10,282,460,428,68,861,240,322,321,35
  2017 Apr,174,215,763,421,691,10,264,383,383,42,720,210,276,276,23
  2017 Mar,195,307,929,484,982,11,310,484,460,55,882,261,298,375,26
  2017 Feb,178,242,762,436,931,6,233,394,325,58,792,230,284,239,29
  2017 Jan,186,220,655,448,883,7,200,399,297,37,837,230,282,239,24
  2016 Dec,160,216,723,391,938,7,202,376,360,42,667,209,242,226,36
  2016 Nov,169,206,723,452,823,13,236,413,396,58,715,219,246,280,39
  2016 Oct,160,249,745,497,922,9,242,450,427,72,780,236,285,301,35
  2016 Sep,172,250,782,489,957,5,274,473,420,51,770,254,270,282,37
  2016 Aug,182,259,783,474,900,7,249,385,361,52,767,236,280,303,48
  2016 Jul,161,228,785,507,917,3,247,429,384,55,746,270,284,288,38
  2016 Jun,181,262,849,523,906,6,244,466,415,55,877,276,304,294,37
  2016 May,167,285,854,496,950,4,267,446,411,46,802,291,250,302,39
  2016 Apr,211,281,873,535,1387,12,289,534,327,52,869,298,331,324,47
  2016 Mar,209,325,899,599,1127,10,263,533,406,55,943,335,349,368,36
  2016 Feb,156,221,659,410,798,4,206,387,314,26,716,232,253,252,27
  2016 Jan,150,250,713,454,847,3,249,359,305,34,702,248,230,260,27
  2015 Dec,115,216,712,416,941,7,180,367,409,36,660,192,255,235,23
  2015 Nov,162,221,712,523,1081,5,231,390,363,48,735,245,303,283,25
  2015 Oct,185,281,905,688,1234,10,324,550,393,48,902,275,369,333,36
  2015 Sep,214,297,766,531,1374,9,238,499,404,57,787,282,295,284,27
  2015 Aug,182,226,844,539,981,6,245,431,405,63,778,265,311,281,41
  2015 Jul,214,320,832,622,875,8,265,488,405,68,868,313,358,301,25
  2015 Jun,196,251,774,545,548,7,260,448,380,54,788,306,288,291,22
  2015 May,190,314,813,563,483,10,280,424,394,61,922,283,284,319,37
  2015 Apr,204,318,882,560,370,11,257,517,431,39,906,267,307,350,33
  2015 Mar,220,304,915,560,310,7,296,470,498,54,925,281,329,316,24
  2015 Feb,126,215,643,394,207,7,201,364,313,46,656,189,238,222,29
  2015 Jan,238,305,897,588,268,4,257,449,354,59,943,291,341,285,29
  2014 Dec,183,247,978,941,323,4,272,567,396,52,929,332,355,349,36
  2014 Nov,265,248,1143,1286,336,9,291,631,398,35,973,353,411,427,28
  2014 Oct,248,286,1247,1495,353,8,339,720,434,57,1145,387,442,500,46
  2014 Sep,238,329,1368,1727,375,7,316,731,429,45,1239,592,487,593,44
  2014 Aug,209,295,1143,1093,296,2,318,657,362,73,1120,402,385,414,25
  2014 Jul,237,337,1038,1010,260,11,290,620,416,55,1156,357,406,407,28
  2014 Jun,203,300,1108,949,251,7,264,691,399,68,1082,348,390,409,27
  2014 May,230,298,1070,904,229,7,258,577,418,57,1015,319,371,346,41
  2014 Apr,244,351,1008,700,278,7,295,526,451,51,1041,330,359,406,38
  2014 Mar,250,350,1037,858,249,10,308,559,501,65,1000,340,346,398,32
  2014 Feb,169,284,812,541,218,8,194,426,345,54,867,285,267,305,13
  2014 Jan,187,281,916,533,213,11,222,445,374,53,889,299,345,317,36
  2013 Dec,167,242,769,483,197,5,212,407,364,56,770,232,312,247,25
  2013 Nov,205,261,872,555,208,10,232,398,419,47,734,227,300,265,30
  2013 Oct,191,307,901,564,210,8,259,422,438,82,915,283,350,300,35
  2013 Sep,196,300,875,574,175,9,216,459,377,47,866,307,310,299,21
  2013 Aug,207,256,878,576,183,6,256,459,419,73,786,255,298,252,24
  2013 Jul,232,302,977,641,229,11,270,479,466,79,868,287,335,312,33
  2013 Jun,186,274,813,564,196,14,241,409,435,84,806,279,288,322,28
  2013 May,218,296,938,594,219,8,268,441,478,91,883,284,323,311,27
  2013 Apr,238,364,1017,590,259,15,299,438,529,87,907,305,315,329,24
  2013 Mar,217,324,915,551,204,14,220,439,504,102,876,275,292,299,25
  2013 Feb,143,212,584,359,191,4,170,308,389,78,622,215,233,196,23
  2013 Jan,188,301,933,520,215,16,236,369,491,108,884,265,360,276,25
  2012 Dec,161,206,669,398,177,11,192,309,398,75,609,202,239,220,29
  2012 Nov,174,243,745,499,177,9,220,335,515,102,705,233,267,239,26
  2012 Oct,171,288,909,507,181,14,228,344,490,105,797,290,333,288,32
  2012 Sep,163,237,769,500,162,7,225,328,399,86,692,256,284,259,24
  2012 Aug,176,266,940,553,172,12,260,400,439,82,789,253,283,296,24
  2012 Jul,187,287,895,564,194,13,246,361,412,83,805,288,278,297,27
  2012 Jun,184,238,853,483,190,9,234,337,428,90,704,240,275,270,43
  2012 May,211,280,870,564,218,18,291,365,457,90,773,247,283,289,31
  2012 Apr,198,324,919,473,226,15,264,356,450,84,797,265,244,283,40
  2012 Mar,203,332,975,577,199,9,292,360,500,101,855,311,283,330,31
  2012 Feb,203,336,930,496,213,8,249,356,498,77,847,292,291,355,31
  2012 Jan,182,269,718,433,171,5,204,294,345,44,648,230,258,252,19
  2011 Dec,161,203,749,397,173,5,192,326,364,53,581,241,198,236,37
  2011 Nov,188,298,855,430,191,9,232,313,458,83,733,272,249,264,31
  2011 Oct,168,243,827,471,175,9,225,293,371,106,714,225,286,299,39
  2011 Sep,150,279,806,473,160,15,247,318,467,69,666,237,243,297,30
  2011 Aug,187,251,805,439,190,4,210,353,403,76,698,240,275,252,43
  2011 Jul,233,318,891,552,203,10,279,342,466,96,818,264,288,304,44
  2011 Jun,213,293,873,498,175,8,248,333,464,110,723,279,239,274,35
  2011 May,205,278,931,492,201,15,269,306,463,90,687,274,237,258,28
  2011 Apr,207,302,906,499,199,14,273,309,498,103,775,254,279,287,41
  2011 Mar,269,378,967,570,236,9,265,356,463,83,832,327,276,356,30
  2011 Feb,173,257,707,359,152,7,211,283,378,82,631,285,221,230,23
  2011 Jan,228,289,917,478,212,10,227,344,429,99,814,292,311,269,32
  2010 Dec,205,266,764,416,179,8,242,321,411,89,626,249,223,284,30
  2010 Nov,183,235,724,412,162,7,245,273,425,93,624,220,214,231,38
  2010 Oct,198,304,851,442,165,9,256,288,390,88,758,283,290,306,21
  2010 Sep,194,280,815,454,208,11,227,297,445,98,678,263,260,310,31
  2010 Aug,184,282,836,392,160,3,261,296,427,117,635,226,239,245,27
