Time,Manufacturing Operating Surplus,Construction Operating Surplus,Utilities Operating Surplus,Other Goods Industries Operating Surplus,Wholesale Trade Operating Surplus,Retail Trade Operating Surplus,Transportation & Storage Operating Surplus,Accommodation Operating Surplus,Food & Beverage Services Operating Surplus,Information & Communications Operating Surplus,Finance & Insurance Operating Surplus,Real Estate Operating Surplus,Professional Services Operating Surplus,Administrative & Support Services Operating Surplus,Other Services Industries Operating Surplus
  2022 4Q,21604,530.1,1207.2,25.6,22584.4,759.7,9341.2,904.7,268.1,2980.5,12808.6,3550.4,2472.1,2753,2290.4
  2022 3Q,27229,661.1,1265.2,24.5,22856.5,613.8,12253,867.1,327.3,3177,12442.4,3476.7,2389.1,2352.4,1640.6
  2022 2Q,29734.9,753,1168.4,21.4,24498.7,808.8,13577.5,495.2,320.4,2927.7,12036.7,3198.5,2415.5,2476.3,1947.5
  2022 1Q,25812.2,586.4,1015.1,21.6,19786.8,769,12643.1,192.5,234,2906,11518.4,2918.1,1944.8,2534.2,1357.6
  2021 4Q,21572.2,585.3,1123.3,24.5,21799.5,914.2,10998,274.4,513.6,3028.8,11490.4,3105.5,2416.7,2258.9,2131.7
  2021 3Q,25694.9,689.4,1128.5,24.5,20264.8,649.6,9296,311.6,505.8,3153.4,10994.6,2906.5,2231.2,1956.6,1284.9
  2021 2Q,25303.1,623,1118.9,22.4,20242.8,686.3,8106.6,273.3,312.1,2822.2,10891.2,2845.4,2326.1,2336.6,2005.9
  2021 1Q,20910.4,510.4,909,21.5,15663,783.1,6985.6,225.5,394.3,2730.2,11077.7,2614.2,1813,2441.4,1894.6
  2020 4Q,16329.5,820.9,1149.1,25.4,16281.5,821.5,5255.3,340.7,477.8,2950.9,10551.3,3057.1,2376.9,2789.4,2687.3
  2020 3Q,20188.7,429.6,1118.9,24.4,15369,739.9,4609.1,403.3,499.8,2928.9,10000.9,2553.9,2097.2,2441,1814.8
  2020 2Q,19054.3,-151.8,1160.1,23.8,16225.6,537.6,3937,272.7,595,2888.5,10508.7,2108.2,2354.6,2938.8,1975.2
  2020 1Q,16588.9,769.1,1002.7,18.1,12186.6,605.8,3543.2,187.3,222.3,2299.8,11411.8,2606.7,1869.6,3251.9,1722.6
  2019 4Q,15952.5,1115.8,1007.3,20.9,15148.5,618.5,4780.3,561.1,391.8,2321.1,10466.7,3150.4,2394.4,3520.1,3202.6
  2019 3Q,20394.2,1056.4,1103.3,20.9,15559,514.3,4174.8,657.4,474.2,2388.5,10090.1,2993.9,2204.7,3189.5,2254.7
  2019 2Q,17667.3,939.9,1055,17.9,15134.4,681.6,4162.3,504.1,466.1,2118.9,9861.1,2970.1,2355.3,3377.5,2435.8
  2019 1Q,18195,803.2,857.2,18.1,13039.4,713.6,3970.2,422.4,423.6,1987.6,9979.9,2609.4,2033.3,3279.3,2217.6
  2018 4Q,21485.8,910.4,1000,19.4,15269.7,728.4,4531.4,523,433.3,1930.6,9257.4,3081.1,2160.8,4298.9,2978.8
  2018 3Q,22370.9,969.3,1052.4,17.6,15820.9,603.7,4277.4,659.6,475.2,1978.5,9143.9,3005.2,1923.7,4583.8,2223.3
  2018 2Q,20431.6,907.4,1108.9,15.5,14326.1,800.3,3879.4,566.2,431.7,1783.3,9048.9,2953.6,1884.6,4643.5,2343.9
  2018 1Q,16311.8,788.1,844.5,16.3,11817.3,776,4145.8,438.9,372,1802.9,9447,2596.9,1651.2,4257.7,2267.4
  2017 4Q,16891.1,944.4,945.8,17,14092.2,812.4,4744.8,471.1,406,1764.7,8437.1,2814,1993.5,4425.9,2866.8
  2017 3Q,16246.4,980.5,995.4,15.4,12698.4,653.5,4521.7,602.6,460.5,1937.1,8022.9,2816.6,1760,4530.9,2097.7
  2017 2Q,14736.5,931.7,996.2,14.9,12229.7,793.2,4372.5,493.6,402.8,1813.7,7482.5,2878.2,1769.7,4590,2311.8
  2017 1Q,14038.1,801.9,781.9,16.1,11802,794.1,4006.3,410.6,377.7,1835.3,7663.4,2676.8,1590,3882.3,2025
  2016 4Q,14265.2,1020.9,1019.7,16.1,13308.5,766.4,4096.3,444.6,398.6,1709.6,7145.6,3153.3,1865.5,4115.9,2705.3
  2016 3Q,13825.6,1302,1043.2,15.2,11887.9,664.5,3607.9,608,472.9,1937.3,6816.4,3278.6,1711.5,4259.8,2058.9
  2016 2Q,13052.7,1322.3,997.6,13.7,10473.5,789.7,3603.1,472.3,441.3,1856.2,6832.2,3493.2,1722.1,4093.3,2039.7
  2016 1Q,10717.7,929.1,835.8,15,7813.9,770.6,3485.9,380.3,369.7,1762.7,6913.6,3197.1,1380.3,3752.3,1844.1
  2015 4Q,12226.8,1207.5,1042.1,13.9,9786.2,736.8,4462,457.1,414.2,1611.3,6679.2,3572.9,1930.3,3701,2524.9
  2015 3Q,13601.5,1457.9,1081.5,18.6,9988,610.3,4296.2,561.3,446.4,1657.7,6890.1,3853.8,1747,3682.1,2014.5
  2015 2Q,13552.5,1437.4,1114.1,15,9302.9,723,4236,451.3,423.3,1588.4,6381.2,3823,1783.2,3400.2,2179.1
  2015 1Q,11261,938.2,992.7,14.3,7689.3,694.8,4440.2,373.9,367.6,1500.6,6583.3,3439.8,1596,2671.9,2109.1
  2014 4Q,10845.3,1154.8,1015.9,14.4,8932.3,656.1,4173.2,473.3,399,1703.2,6114.4,3904.7,1836.7,2592.6,2675.2
  2014 3Q,12543.2,1382.6,1026.8,18.5,9509,524.6,3883.2,579.6,436.6,1836.7,5899.1,3976.9,1557.7,2888.9,1860.5
  2014 2Q,12015.1,1342.8,1019.6,14.5,10024.2,672.9,3556.1,503,421.7,1707.7,5633.3,3994.2,1473.7,2854.4,2197
  2014 1Q,10232,981.3,792.6,14.7,8874.4,754.6,3476.7,406.8,343.6,1667.9,5528,3711.8,1330,2154.3,2120.3
  2013 4Q,10736.8,1242.9,908.3,14.7,10287.4,673.3,3438.5,409.7,349.7,1678.3,5618.2,4155.1,1479.8,2156,2359
  2013 3Q,11756.7,1451.4,1021.5,17.6,11149.8,551.1,3484.1,505.9,406.1,1803.9,5727.4,4253.5,1580.6,2390.8,2029.3
  2013 2Q,11244.7,1330.7,1053.1,14.1,11046.3,744.5,3561,503.5,429.6,1643.4,5578.2,4106,1604.3,2475.4,2135.9
  2013 1Q,9372.4,989.7,808.9,13.4,10092.2,778.6,3043.2,461.6,336.4,1578.7,5330.8,3602.6,1578.9,2026.8,2083
  2012 4Q,10833.6,1275,985.8,12.4,10351.7,746.6,3116.6,454.5,342.6,1482.6,4817.6,3765.2,1905.5,1833.1,2403.7
  2012 3Q,11842.9,1513.7,1054,12.5,10865.1,628.7,3378.7,559.4,396.9,1625.4,4395.8,3771.7,1735.1,2095.6,1695.1
  2012 2Q,12997.6,1440.7,1092.5,14.1,11739,717.2,3473.8,532.8,396.9,1490.9,4536.1,3611.4,1771.9,2136.3,1998.7
  2012 1Q,11446.2,1119.6,916,12.7,10165.1,796.3,3148.4,438.9,319.8,1456.2,4347.8,3187.7,1735.8,1832.9,2512.3
  2011 4Q,10911.3,1390.2,948,12.7,10874.3,794.5,2903.5,501,332.4,1358.4,4500.4,3362.4,1789.3,1842.4,2250.9
  2011 3Q,12074.8,1574.5,1018.1,12,11545.1,650.7,3003.3,578.3,360.2,1525.2,4391.7,3604,1641.6,2020.6,1852.3
  2011 2Q,12006,1390.1,1101.8,13.9,11332.3,744.3,3212.7,504.4,362.2,1413.9,4064.8,3109.4,1592.8,1927.1,1974.7
  2011 1Q,11424.9,1106.9,876.8,14,9632.9,748.5,3227.9,350.5,281.3,1318.2,4002.7,2641.3,1562.1,1500.6,2596.3
  2010 4Q,11316.1,1325.8,906.6,12.1,9606.5,740.4,3686,421.2,294.8,1309.9,4462.6,3013.2,1563.7,1409.5,2256.6
  2010 3Q,12171.5,1537.5,932.8,13.2,9779.6,586.2,4045.3,441.8,311.9,1295.9,4393.4,2892.6,1482.6,1557.1,1684.9
  2010 2Q,12789.4,1592.9,943.2,15.4,9667.2,607.3,4148.8,337.9,319.7,1111.6,4593.3,2887,1438,1513,2018
  2010 1Q,10420,1352.2,800.4,8.5,8036,696.3,4173.8,216.2,271.3,1303.9,4252.8,2409.2,1492,1152.7,1568.7
  2009 4Q,10601.5,2016.4,893.9,14.6,8125.2,692.1,3604.4,275,278.7,1176.5,4769.4,2332.9,1373.2,1030.9,1607.6
  2009 3Q,11584.1,1926.2,774.7,12,8206.7,592.7,2981.2,315.4,296.9,1335.8,4240.2,2287.9,1276.1,1221.9,1186.1
  2009 2Q,9277,1748.1,841.3,11.4,7456.5,606.4,3109.2,250.7,291.6,1264.8,4158.3,2196.9,1132.9,1102.6,1366.9
  2009 1Q,5881.3,1545.2,575.8,13.8,5408.3,633.5,3177.8,199,250.2,1340,3590.6,1762.5,1229.1,1063.5,1404.8
  2008 4Q,6921.4,1638.5,807.4,11.3,4752.6,572.5,4022.1,311.2,230.1,1189.9,3632.4,2083.7,1263.9,1014.2,1410.4
  2008 3Q,9573.6,1522,649.1,12.6,6760.7,545.7,3826.4,416.3,260.5,1190.5,4463.2,2458.3,1214.7,1255.8,1120.5
  2008 2Q,9215.4,1133.7,836.3,12.5,6495,620.4,4458.4,414.8,264.5,1096.6,4598,2411.9,1185.6,1223.3,1413.8
  2008 1Q,8674.5,807.4,636.2,14.6,5572.2,672.2,4435.8,318.9,240,1122.7,4271.6,1881.9,1217.6,1008,1263.9
  2007 4Q,10756.9,797.2,700.6,12.9,7522.4,619.1,4531,330.9,237.9,1068.5,3877,1957.6,1122.8,905,1387
  2007 3Q,12124.2,698.9,698,13.3,8384.1,526.5,4098.2,361.9,259.5,1224.1,4099.7,2021.8,1005.7,1019,1006.2
  2007 2Q,11683.6,472.6,691.9,12.8,7902.1,655.6,4043.1,336.1,239.9,1176.4,3792.1,1785.2,1046.5,934.1,1205.1
  2007 1Q,10171.8,552.2,773.1,15.2,6228.7,667.5,3675,236.9,236,1085.5,3543,1222,994.7,706.7,1108.2
  2006 4Q,11138.6,450.8,699.6,15.1,6704.2,603.3,3695.4,246.9,258.4,1108.3,2981.3,1278.9,882.2,664.4,1306.9
  2006 3Q,11748.9,447.3,744.9,12.1,6837.4,488.2,3242.5,287.3,255.9,1182.8,3239.5,1302.7,780,760,1049.9
  2006 2Q,11643.7,274,730.2,13.4,5835.1,589.8,3139.6,238,244.3,1054.8,2992.3,1335.9,758.5,729.2,1231.4
  2006 1Q,9660.9,366.8,697.6,14.6,4705.4,628.8,3107.3,175.3,224.3,922.8,2712.5,1129.7,752.2,626,1117.4
  2005 4Q,11075.6,352.7,600.9,13.1,4984.9,586.8,3574.7,185.1,274.5,1052.1,2590.8,1178.6,813.9,567.3,1127
  2005 3Q,10632.8,340.1,639,14.3,5329.3,489.9,3328.1,211.9,257.7,1094.9,2517.8,1249.9,782.1,786.8,1134.8
  2005 2Q,9911.7,252.2,628.4,13.4,4592,546.9,3305.2,192.6,259.5,987.2,2646.9,1240.6,734.4,804.1,1157.3
  2005 1Q,8668.3,382.3,580.5,15.4,3492.3,609.7,3212.8,130.4,242.5,994.5,2349.9,1028.8,731.1,670.7,921.6
