Time,Vessel Arrivals Shipping Tonnage ,Total Cargo,Singapore Registry Of Ships
  2023 Jan,257448,47622.6,4028
  2022 Dec,245198,49029.5,4023
  2022 Nov,248478,46726.8,4038
  2022 Oct,251201,47054.7,4029
  2022 Sep,231414,46599.2,4041
  2022 Aug,244950,49200.5,4049
  2022 Jul,246795,50927.3,4046
  2022 Jun,230600,48278.7,4070
  2022 May,239398,47283.1,4084
  2022 Apr,225609,47132.1,4091
  2022 Mar,223085,48660.1,4082
  2022 Feb,207372,45205,4083
  2022 Jan,234263,52096,4079
  2021 Dec,229815,48682.5,4090
  2021 Nov,230995,52126.3,4120
  2021 Oct,230042,48764.4,4125
  2021 Sep,221138,48263.5,4123
  2021 Aug,226135,49773.4,4132
  2021 Jul,229192,50446.9,4137
  2021 Jun,231444,48768.8,4148
  2021 May,238117,51385.1,4157
  2021 Apr,239955,50261.3,4184
  2021 Mar,245082,52683.4,4207
  2021 Feb,236521,47445.2,4229
  2021 Jan,255333,51042,4247
  2020 Dec,245140,49976.5,4275
  2020 Nov,246268,49760.1,4315
  2020 Oct,243803,50058.5,4325
  2020 Sep,240460,49197.3,4332
  2020 Aug,244007,50448.1,4352
  2020 Jul,252005,48752.1,4354
  2020 Jun,227328,48163.7,4371
  2020 May,223323,44620.5,4377
  2020 Apr,230354,47611.1,4388
  2020 Mar,251388,53344.5,4409
  2020 Feb,234656,47761.1,4414
  2020 Jan,263883,51044.7,4418
  2019 Dec,258664,53177.9,4437
  2019 Nov,244544,52378.8,4457
  2019 Oct,250282,52557.7,4463
  2019 Sep,244462,49785.2,4446
  2019 Aug,236774,51066.4,4447
  2019 Jul,238851,52124.6,4461
  2019 Jun,227457,53341,4460
  2019 May,235454,55848.5,4465
  2019 Apr,226032,54329.1,4471
  2019 Mar,229405,52019.7,4472
  2019 Feb,214560,47962.1,4469
  2019 Jan,248250,51930,4468
  2018 Dec,235007,54278.8,4456
  2018 Nov,228495,51785.3,4472
  2018 Oct,233085,53547,4482
  2018 Sep,230533,50349.8,4501
  2018 Aug,222035,54838.2,4517
  2018 Jul,226025,52268.8,4525
  2018 Jun,226588,51768.1,4533
  2018 May,236607,53372.1,4558
  2018 Apr,241009,51969.9,4572
  2018 Mar,238689,53776.6,4581
  2018 Feb,224248,48984.1,4578
  2018 Jan,249644,53186.5,4583
  2017 Dec,244686,54458.9,4578
  2017 Nov,236194,53120.2,4590
  2017 Oct,234494,53877.1,4600
  2017 Sep,231419,52833.2,4618
  2017 Aug,234390,52963.5,4621
  2017 Jul,232045,50115.5,4624
  2017 Jun,235488,50979.4,4640
  2017 May,243798,53920.1,4662
  2017 Apr,229465,52937,4683
  2017 Mar,234467,53068.3,4686
  2017 Feb,207820,48370.1,4713
  2017 Jan,235319,51044.8,4721
  2016 Dec,219799,52635.6,4717
  2016 Nov,221312,50101.4,4730
  2016 Oct,220083,49769.2,4728
  2016 Sep,212087,47875.8,4728
  2016 Aug,227741,49625.1,4737
  2016 Jul,222867,48110.3,4760
  2016 Jun,222676,49019.3,4759
  2016 May,230316,52727.6,4770
  2016 Apr,225145,51300.9,4775
  2016 Mar,227513,49494.7,4781
  2016 Feb,204271,46718.7,4790
  2016 Jan,228885,45918,4767
  2015 Dec,223666,46276.5,4739
  2015 Nov,209419,45171.3,4743
  2015 Oct,210770,47232.6,4746
