Time,Unit Labour Cost Of Manufacturing,Unit Labour Cost Of Construction,Unit Labour Cost Of Utilities,Unit Labour Cost Of Other Goods Industries,Unit Labour Cost Of Wholesale Trade,Unit Labour Cost Of Retail Trade,Unit Labour Cost Of Transportation & Storage,Unit Labour Cost Of Accommodation,Unit Labour Cost Of Food & Beverage Services,Unit Labour Cost Of Information & Communications,Unit Labour Cost Of Finance & Insurance,Unit Labour Cost Of Real Estate,Unit Labour Cost Of Professional Services,Unit Labour Cost Of Administrative & Support Services,Unit Labour Cost Of Other Services Industries
  2022 4Q,88.5,149.3,128.3,110.8,109.5,109.8,118.3,123.3,141.2,123.6,112.6,96.5,128,169,122.2
  2022 3Q,71.2,138.8,112.8,107.2,91.3,117.7,98.9,103.7,132.3,112.6,101,82.5,118.4,156.7,115.6
  2022 2Q,69,131.7,107.5,113.3,94.8,101.9,109.5,108.1,134.2,120.5,98.8,92.9,115.7,166.8,104.8
  2022 1Q,77.9,136.6,131.7,118.1,103.2,100.6,109.3,123.6,136.1,119.2,96.1,103.4,128,180.7,136
  2021 4Q,80.2,134.4,121,98.8,102.9,101.2,110.1,109.4,123.6,111.2,97,108.4,118.6,176.7,119.6
  2021 3Q,64.7,121.8,105.7,93.9,90,112.4,92.6,82.5,112.9,100.1,91.7,89.6,112.7,154.9,114
  2021 2Q,63.7,120.3,97.6,91.6,87.9,101,91.2,82.5,124.6,110.2,91.1,90.7,105,143.9,103.7
  2021 1Q,71.4,122.2,128.5,104.6,99.4,93.4,96.3,88.2,111.8,108.9,91.8,99,118.9,162.5,126.5
  2020 4Q,79.5,97.3,115.5,87.4,97.6,95.5,108.2,78.5,103.4,97.4,92.7,100.7,107.8,139,103.9
  2020 3Q,58,123.2,104.3,84.4,87.8,99.3,90.7,60.3,99.3,92.1,89.5,103.8,98.5,121.3,104.3
  2020 2Q,53.2,146.8,92,61.3,72.5,90.9,84.8,56.8,55.1,94.1,83.3,92.5,92.2,97.3,99.9
  2020 1Q,87.8,107.1,124.8,115.6,119,112.1,109,154,137.2,113.3,92.7,130.2,114.7,132.9,125.4
  2019 4Q,99.5,101.5,110.8,107.3,111.3,112.7,108.4,109.2,115.2,105.3,97.3,115.3,103.1,126.6,102.2
  2019 3Q,78.3,98.1,99.5,93,95.9,117.3,101.3,91.3,107.5,98.6,95.3,102.7,95.5,109.4,106.4
  2019 2Q,80.5,99.9,98.7,107.6,97.8,102.8,102.1,101.5,107.4,105.6,95.7,107.8,95.8,113.3,96.4
  2019 1Q,95.5,104.1,124,113.7,115,102.5,110.2,118.9,109.7,110.9,96.9,119.6,107.7,127.6,120.5
  2018 4Q,93.4,100.3,115,108.3,109.4,106.2,109.7,106.3,107.4,107.3,101.7,116.6,104.9,106.6,108
  2018 3Q,73.6,95.2,100.9,98.3,94.1,111.9,98.7,85.2,103.1,101.6,96,97.4,101.4,87.2,104.9
  2018 2Q,76,97.2,95.7,106.4,99.4,96.6,100.9,91.8,105.3,110.7,98.2,103.1,104.2,88.2,95.7
  2018 1Q,93.3,104.2,125,119.1,117.8,98.9,106.7,113.2,110.3,110.2,97.4,117.8,112.1,98.5,119
  2017 4Q,94.4,100.6,110.8,114.2,105.6,102.4,105.6,107.3,106.6,107.9,100.6,113.7,107.4,97.6,106.9
  2017 3Q,74.9,99.7,96.4,93.4,95.6,108.9,95,86.5,101.5,100.8,94,98.5,96.3,86.6,102.4
  2017 2Q,83,102,94.9,107.4,100.5,96.8,95.7,93.8,105.3,105.9,99.2,101.4,97.8,88.5,93
  2017 1Q,98.9,111,114.2,112.6,116.3,97.6,104.3,112.3,107.9,106.4,101.7,117.9,111.1,98.8,116.9
  2016 4Q,96.9,109.4,102.3,109.4,103.2,102.3,108.8,106.4,106.6,106.4,103.3,105.5,109.2,96,101.2
  2016 3Q,88,99.1,90.9,106,91.5,107.2,96.2,83.9,99.8,95.9,100.1,87.7,97,88.7,99.3
  2016 2Q,88.8,96.3,89.8,98.8,99.8,96,96.9,94.9,101.1,100.3,101.2,93.1,98.9,90.1,93.7
  2016 1Q,108.7,111.4,119.5,106.2,121.3,97.3,106.8,115.4,106.5,104.8,100.4,105.2,113.6,94.4,116.7
  2015 4Q,108.6,101.8,95.6,105.9,106.5,101.3,110.2,105,102.4,102.1,102.5,105.9,102.2,96.1,101.5
  2015 3Q,89.9,93.9,94.1,92.5,89.3,106.4,92.9,85.7,97.6,95.6,98.2,90.3,94.3,92.5,97.8
  2015 2Q,90.6,94.3,89.2,99.4,92.1,94.8,94.8,95.3,98.3,97.9,100.5,95.7,94.1,97.8,90.3
  2015 1Q,111,110.1,121.1,102.3,112.2,97.6,102.1,114.1,101.7,104.4,98.9,108.1,109.3,113.7,110.4
  2014 4Q,103.7,103.4,100.6,108.6,103.1,104.6,106.3,100.9,99.2,98.1,102.4,101.9,99.4,111.8,96.9
  2014 3Q,84.8,96.2,84.5,90.5,89.2,110.4,92.8,82.1,93.3,89.6,100,86.2,95.3,101.7,95.5
  2014 2Q,85,95.1,84.1,95.1,90.5,95.7,93.1,88.2,93.8,91.5,100,89.6,99.2,101.6,86
  2014 1Q,102.8,103.6,112.9,93,110.4,89.6,99.9,108.3,100,94.9,101.6,96.4,110.7,120.5,104.3
  2013 4Q,96.2,101.5,98,101.3,104.4,98.6,100.3,101.4,99.9,96.6,102.4,85.8,110.1,114.6,97.4
  2013 3Q,81.7,93,81.6,88.1,89.1,103.9,86.3,81.5,92.8,85.2,99.8,72.5,91.2,106.9,88.2
  2013 2Q,81.1,93.1,83,91.5,90.5,87,87,81.3,89.5,89,101.2,75.8,92.1,104.8,84.3
  2013 1Q,105.6,101,97.4,100.6,107.5,84.9,97.6,94,97.9,91.2,99.4,90,95.5,121.2,99.8
  2012 4Q,98,91.1,88.1,104.6,106.2,91.8,99.2,95.5,98.4,93.5,110.5,89.6,93.5,123,91.7
  2012 3Q,82.7,82.4,78,94.2,90.2,96.3,85.7,76.8,90.8,89,111,78.8,87.3,116.2,87.3
  2012 2Q,78.2,81.8,72.5,93.6,89.8,87.3,85.8,78.5,89.3,91.3,111.9,82.4,86.3,112.3,80.6
  2012 1Q,95.5,90.5,86.1,103.6,115.4,83.3,91.5,96.4,96.7,95.9,114.9,94.2,92.8,113.8,89.2
  2011 4Q,94.4,82.6,79,104.9,112,89.5,94.8,84.5,94.8,92.8,108.3,88.4,88.6,108.6,87.1
  2011 3Q,77.9,76.4,72.1,101.5,90.7,95.1,84.4,69.9,89.5,84.3,108.7,73.2,81.1,104,82.2
  2011 2Q,78,79.3,65.7,95.4,95.4,83.9,78.5,75.1,87.6,90.9,112.8,80.1,86.5,105.1,78.4
  2011 1Q,91.2,88.5,90.3,97.1,116.2,78.7,91.4,99.6,94.6,93.1,117.1,96.6,93.3,113.8,90.5
  2010 4Q,98.8,79.3,84.3,114,112.1,82.3,91.5,83.6,91.6,92.8,112.3,86.4,88.4,125.2,84.9
  2010 3Q,80.8,72.9,70.4,93.9,92,88.3,81.6,73.2,88.1,85.1,109.1,76.1,82.3,115.8,79.9
  2010 2Q,69,74,64.7,90.6,93.3,81.5,79.5,80.1,85,91.4,102.3,73.1,81.7,112.4,71.9
  2010 1Q,100.8,84.3,80.5,102,115.6,71.7,88.7,98.1,89.5,84.7,108.9,85.2,84.5,121.2,88.9
  2009 4Q,109.6,69.6,74,90.6,118.8,75.2,85.7,78.9,89.2,88.1,96,76.5,87.5,121.7,82.2
  2009 3Q,81.9,69.8,65.3,98.9,99.8,81.1,80.9,63.7,84.4,78.1,104.6,65.6,76.2,108.2,78.8
  2009 2Q,92.5,74.5,64.5,102.4,106.9,72.5,79.3,72.3,83.3,80.1,105.2,68.7,79.1,110.8,76.4
  2009 1Q,131.2,84.2,89,99.1,131.3,69.1,91.6,97.2,86.4,79.4,114.7,89.3,83.4,117.1,89.4
  2008 4Q,122.1,78.8,74.2,109.9,133.6,77.6,84.3,88.6,85.4,84.5,99.4,81.2,90.4,118.3,85
  2008 3Q,103.1,75.2,76.2,102.1,102.1,78.5,76.5,76.6,78.7,77.1,104.3,69.8,78.8,105.7,80.8
  2008 2Q,104.5,81.5,70.2,97.8,102.8,69.6,64.9,77.3,76.4,80.2,101.5,72.3,79.1,108.2,72.6
  2008 1Q,105.3,91.2,94.8,98.1,121.4,64.6,75.5,98.6,79.6,81.7,105.5,100.1,84.4,116.9,91
  2007 4Q,103.9,84.8,77.1,97.7,126.6,69.6,75.5,81.8,79,83.6,119.2,96.7,87.4,121.2,85.1
