year,industry1,industry2,job_vacancy
1990,manufacturing,"food, beverages and tobacco",500
1990,manufacturing,textile and wearing apparel,4700
1990,manufacturing,paper products and publishing,1000
1990,manufacturing,petroleum and chemical products,600
1990,manufacturing,rubber and plastic products,1100
1990,manufacturing,fabricated metal products,1700
1990,manufacturing,machinery and equipment,1500
1990,manufacturing,electrical products,900
1990,manufacturing,electronic products,8500
1990,manufacturing,medical and precision instruments,400
1990,manufacturing,transport equipment,2100
1990,manufacturing,other manufacturing industries,1300
1990,construction,construction,2200
1990,services,wholesale and retail trade,3800
1990,services,hotels and restaurants,4100
1990,services,"transport, storage and communications",2600
1990,services,financial intermediation,1500
1990,services,business and real estate services,2000
1990,services,"community, social and personal services",3100
1990,others,others,100
1991,manufacturing,"food, beverages and tobacco",500
1991,manufacturing,textile and wearing apparel,3900
1991,manufacturing,paper products and publishing,1000
1991,manufacturing,petroleum and chemical products,600
1991,manufacturing,rubber and plastic products,1000
1991,manufacturing,fabricated metal products,1200
1991,manufacturing,machinery and equipment,1200
1991,manufacturing,electrical products,800
1991,manufacturing,electronic products,4900
1991,manufacturing,medical and precision instruments,300
1991,manufacturing,transport equipment,2600
1991,manufacturing,other manufacturing industries,1300
1991,construction,construction,2500
1991,services,wholesale and retail trade,3800
1991,services,hotels and restaurants,3900
1991,services,"transport, storage and communications",2200
1991,services,financial intermediation,1500
1991,services,business and real estate services,2200
1991,services,"community, social and personal services",2700
1991,others,others,100
1992,manufacturing,"food, beverages and tobacco",400
1992,manufacturing,textile and wearing apparel,3000
1992,manufacturing,paper products and publishing,1000
1992,manufacturing,petroleum and chemical products,600
1992,manufacturing,rubber and plastic products,800
1992,manufacturing,fabricated metal products,1400
1992,manufacturing,machinery and equipment,1300
1992,manufacturing,electrical products,600
1992,manufacturing,electronic products,5100
1992,manufacturing,medical and precision instruments,200
1992,manufacturing,transport equipment,2400
1992,manufacturing,other manufacturing industries,1200
1992,construction,construction,3100
1992,services,wholesale and retail trade,3500
1992,services,hotels and restaurants,3900
1992,services,"transport, storage and communications",2700
1992,services,financial intermediation,1400
1992,services,business and real estate services,2600
1992,services,"community, social and personal services",2900
1992,others,others,100
1993,manufacturing,"food, beverages and tobacco",400
1993,manufacturing,textile and wearing apparel,2300
1993,manufacturing,paper products and publishing,1000
1993,manufacturing,petroleum and chemical products,600
1993,manufacturing,rubber and plastic products,800
1993,manufacturing,fabricated metal products,1500
1993,manufacturing,machinery and equipment,1000
1993,manufacturing,electrical products,600
1993,manufacturing,electronic products,4800
1993,manufacturing,medical and precision instruments,200
1993,manufacturing,transport equipment,2200
1993,manufacturing,other manufacturing industries,900
1993,construction,construction,3400
1993,services,wholesale and retail trade,3700
1993,services,hotels and restaurants,4300
1993,services,"transport, storage and communications",3000
