,year,"food, beverages and tobacco",transport equipment,other manufacturing industries,construction,wholesale trade,retail trade,others,"petroleum, chemical and pharmaceutical products",land transport and supporting services,water transport and supporting services,air transport and supporting services,other transport and storage services,it and other information services,"legal, accounting and management services",architectural and engineering services,other professional services,"other community, social and personal services","paper,rubber,plastic products and printing","fabricated metal products, machinery and equipment","electronic, computer and optical products",accommodation,food and beverage services,"telecommunications, broadcasting and publishing",financial services,insurance services,real estate services,security and investigation,cleaning and landscaping,other adminstrative and support services,public administration and education,health and social services,"arts, entertainment and recreation"
0,1990,500,2100,1300,2200,1600,2200,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,1991,500,2600,1300,2500,1400,2300,100,,,,,,,,,,,,,,,,,,,,,,,,,
2,1992,400,2400,1200,3100,1400,2100,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,1993,400,2200,900,3400,1500,2200,0,,,,,,,,,,,,,,,,,,,,,,,,,
4,1994,400,2600,900,3500,1900,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,
5,1995,400,2700,800,4200,1900,2500,0,,,,,,,,,,,,,,,,,,,,,,,,,
6,1996,500,2300,900,6800,2000,2300,0,,,,,,,,,,,,,,,,,,,,,,,,,
7,1997,500,1900,700,7200,1900,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,
8,1998,200,900,100,2700,1000,700,100,,,,,,,,,,,,,,,,,,,,,,,,,
9,1999,100,700,200,1900,1800,800,300,,,,,,,,,,,,,,,,,,,,,,,,,
10,2000,200,1100,700,1600,2100,1200,200,300,500,1000,1100,300,800,600,400,300,600,,,,,,,,,,,,,,,
11,2001,100,1300,300,900,900,800,300,200,300,900,1100,200,300,200,100,200,500,,,,,,,,,,,,,,,
12,2002,200,1400,400,700,800,700,400,200,200,900,1100,200,200,200,100,100,400,,,,,,,,,,,,,,,
13,2003,200,1000,500,600,700,500,300,200,200,900,700,100,300,200,100,100,400,,,,,,,,,,,,,,,
14,2004,200,1100,300,600,1000,700,300,200,100,1000,800,200,400,400,100,300,600,,,,,,,,,,,,,,,
15,2005,200,1500,200,700,1200,900,200,200,200,900,800,300,300,500,200,500,500,,,,,,,,,,,,,,,
16,2006,300,1700,600,1600,1800,1300,300,300,200,1100,900,500,500,900,500,400,500,500,2300,2600,900,1300,400,1400,200,600,1000,500,500,3900,1200,400
17,2007,400,2000,700,2400,2600,1500,500,400,400,1100,1000,600,600,1200,1000,500,600,600,2400,2100,900,1500,600,2300,300,900,1700,400,600,4700,1500,600
18,2008,300,1700,500,3000,2300,1500,500,400,600,400,700,500,800,1000,1100,500,600,500,1800,1400,700,1800,600,1500,400,900,1700,600,700,6700,1400,500
19,2009,300,1300,500,1900,1700,1300,400,300,300,200,600,400,400,500,600,300,600,300,1000,900,500,1600,300,1000,300,900,1300,400,600,7200,1600,800
20,2010,500,1500,900,2700,2700,2100,400,400,800,500,900,800,800,1000,500,500,900,500,1800,2500,1000,2900,600,2100,400,1400,1700,600,900,6500,1900,1300
21,2011,700,2100,700,3600,3300,2400,600,400,1200,500,1200,700,1000,1100,700,700,1000,500,2100,2400,1100,3200,700,2300,500,1900,2300,1100,1100,7100,2600,1900
22,2012,500,1200,700,3400,3100,2800,800,400,900,400,1100,900,900,1100,800,700,1000,400,2100,1700,1100,3800,600,2100,400,1800,1500,1200,1000,6300,2500,1400
23,2013,700,1400,900,3800,3500,3400,600,500,900,800,1000,1100,1100,1200,1000,700,1400,500,2100,1700,1500,4700,600,2400,400,2100,1600,1500,1300,6500,3000,1500
24,2014,800,1600,800,3600,4100,3900,500,500,1100,700,900,1500,1800,1900,900,700,1200,500,2200,2000,1800,5600,600,3400,400,2300,2000,1800,1600,6500,4400,1500
25,2015,800,1200,800,2900,4000,3300,500,500,900,500,1000,1400,2000,2500,800,800,1100,400,1400,1900,1800,5400,700,3300,400,2200,2400,1600,1300,5900,3600,2000
26,2016,600,800,800,2000,2800,3400,400,400,700,200,700,1300,1900,1900,700,700,800,300,1100,1900,1600,4000,900,2800,500,1500,2300,1400,1200,5400,3100,1400
27,2017,600,900,500,1700,3100,2700,400,400,700,500,600,1600,2200,1600,600,500,800,300,1200,2500,1600,3800,800,3700,500,1100,2000,1500,1200,4900,2700,1500
28,2018,700,1600,900,3000,3700,2800,400,700,800,400,1000,1700,3200,2200,1100,700,1100,400,1600,2300,2000,3900,800,4300,700,1200,1900,1800,1400,5200,3300,1100
29,2019,700,1300,700,2300,3200,2200,400,700,500,500,900,1000,3500,2400,1000,500,700,300,1300,1700,1800,4000,700,4600,700,1300,1500,1200,1300,5400,3700,1100
30,2020,800,500,800,2700,3400,1900,300,500,400,400,200,700,3900,2100,700,400,700,300,1000,1600,700,3400,600,3800,500,1100,1400,1300,1300,6300,4000,600
