Time,TimeQuarter,Industry,Demand
2009.75,2009 Q4,"Food, Beverages & Tobacco",525.0
2009.75,2009 Q4,Paper/Rubber/Plastic Products & Printing,395.833333333333
2009.75,2009 Q4,"Petroleum, Chemical & Pharmaceutical Products",304.166666666667
2009.75,2009 Q4,"Fabricated Metal Products, Machinery & Equipment",1483.33333333333
2009.75,2009 Q4,"Electronic, Computer & Optical Products",620.833333333333
2009.75,2009 Q4,Transport Equipment,1616.66666666667
2009.75,2009 Q4,Other Manufacturing Industries,841.666666666667
2009.75,2009 Q4,Construction,3233.33333333333
2009.75,2009 Q4,Wholesale Trade,2250.0
2009.75,2009 Q4,Retail Trade,1775.0
2009.75,2009 Q4,Land Transport & Supporting Services,408.333333333333
2009.75,2009 Q4,Water Transport & Supporting Services,220.833333333333
2009.75,2009 Q4,Air Transport & Supporting Services,591.666666666667
2009.75,2009 Q4,Other Transportation & Storage Services,516.666666666667
2009.75,2009 Q4,Accommodation,820.833333333333
2009.75,2009 Q4,Food & Beverage Services,2712.5
2009.75,2009 Q4,"Telecommunications, Broadcasting & Publishing",379.166666666667
2009.75,2009 Q4,IT & Other Information Services,620.833333333333
2009.75,2009 Q4,Financial Services,1112.5
2009.75,2009 Q4,Insurance Services,316.666666666667
2009.75,2009 Q4,Real Estate Services,1025.0
2009.75,2009 Q4,"Legal, Accounting & Management Services",725.0
2009.75,2009 Q4,Architectural & Engineering Services,625.0
2009.75,2009 Q4,Other Professional Services,304.166666666667
2009.75,2009 Q4,Security & Investigation,1875.0
2009.75,2009 Q4,Cleaning & Landscaping,716.666666666667
2009.75,2009 Q4,Other Administrative & Support Services,737.5
2009.75,2009 Q4,Public Administration & Education,7191.66666666667
2009.75,2009 Q4,Health & Social Services,1520.83333333333
2009.75,2009 Q4,"Arts, Entertainment & Recreation",829.166666666667
2009.75,2009 Q4,"Other Community, Social & Personal Services",729.166666666667
2009.75,2009 Q4,Others,537.5
2010.0,2010 Q1,"Food, Beverages & Tobacco",166.666666666667
2010.0,2010 Q1,Paper/Rubber/Plastic Products & Printing,279.166666666667
2010.0,2010 Q1,"Petroleum, Chemical & Pharmaceutical Products",300.0
2010.0,2010 Q1,"Fabricated Metal Products, Machinery & Equipment",1029.16666666667
2010.0,2010 Q1,"Electronic, Computer & Optical Products",1170.83333333333
2010.0,2010 Q1,Transport Equipment,1733.33333333333
2010.0,2010 Q1,Other Manufacturing Industries,1066.66666666667
2010.0,2010 Q1,Construction,1945.83333333333
2010.0,2010 Q1,Wholesale Trade,1725.0
2010.0,2010 Q1,Retail Trade,1591.66666666667
2010.0,2010 Q1,Land Transport & Supporting Services,320.833333333333
2010.0,2010 Q1,Water Transport & Supporting Services,212.5
2010.0,2010 Q1,Air Transport & Supporting Services,912.5
2010.0,2010 Q1,Other Transportation & Storage Services,500.0
2010.0,2010 Q1,Accommodation,575.0
2010.0,2010 Q1,Food & Beverage Services,2379.16666666667
2010.0,2010 Q1,"Telecommunications, Broadcasting & Publishing",520.833333333333
2010.0,2010 Q1,IT & Other Information Services,595.833333333333
2010.0,2010 Q1,Financial Services,1791.66666666667
2010.0,2010 Q1,Insurance Services,308.333333333333
2010.0,2010 Q1,Real Estate Services,912.5
2010.0,2010 Q1,"Legal, Accounting & Management Services",762.5
2010.0,2010 Q1,Architectural & Engineering Services,470.833333333333
2010.0,2010 Q1,Other Professional Services,287.5
2010.0,2010 Q1,Security & Investigation,1070.83333333333
2010.0,2010 Q1,Cleaning & Landscaping,170.833333333333
2010.0,2010 Q1,Other Administrative & Support Services,716.666666666667
2010.0,2010 Q1,Public Administration & Education,7162.5
2010.0,2010 Q1,Health & Social Services,1962.5
2010.0,2010 Q1,"Arts, Entertainment & Recreation",816.666666666667
2010.0,2010 Q1,"Other Community, Social & Personal Services",1937.5
2010.0,2010 Q1,Others,416.666666666667
2010.25,2010 Q2,"Food, Beverages & Tobacco",308.333333333333
2010.25,2010 Q2,Paper/Rubber/Plastic Products & Printing,495.833333333333
2010.25,2010 Q2,"Petroleum, Chemical & Pharmaceutical Products",400.0
2010.25,2010 Q2,"Fabricated Metal Products, Machinery & Equipment",1754.16666666667
2010.25,2010 Q2,"Electronic, Computer & Optical Products",2100.0
2010.25,2010 Q2,Transport Equipment,1554.16666666667
2010.25,2010 Q2,Other Manufacturing Industries,1125.0
2010.25,2010 Q2,Construction,2133.33333333333
2010.25,2010 Q2,Wholesale Trade,2420.83333333333
2010.25,2010 Q2,Retail Trade,1633.33333333333
2010.25,2010 Q2,Land Transport & Supporting Services,429.166666666667
2010.25,2010 Q2,Water Transport & Supporting Services,216.666666666667
2010.25,2010 Q2,Air Transport & Supporting Services,1212.5
2010.25,2010 Q2,Other Transportation & Storage Services,725.0
2010.25,2010 Q2,Accommodation,1020.83333333333
2010.25,2010 Q2,Food & Beverage Services,2625.0
2010.25,2010 Q2,"Telecommunications, Broadcasting & Publishing",608.333333333333
2010.25,2010 Q2,IT & Other Information Services,712.5
2010.25,2010 Q2,Financial Services,1441.66666666667
2010.25,2010 Q2,Insurance Services,295.833333333333
2010.25,2010 Q2,Real Estate Services,866.666666666667
2010.25,2010 Q2,"Legal, Accounting & Management Services",912.5
2010.25,2010 Q2,Architectural & Engineering Services,370.833333333333
2010.25,2010 Q2,Other Professional Services,291.666666666667
2010.25,2010 Q2,Security & Investigation,975.0
2010.25,2010 Q2,Cleaning & Landscaping,283.333333333333
2010.25,2010 Q2,Other Administrative & Support Services,716.666666666667
2010.25,2010 Q2,Public Administration & Education,5850.0
2010.25,2010 Q2,Health & Social Services,2150.0
2010.25,2010 Q2,"Arts, Entertainment & Recreation",591.666666666667
2010.25,2010 Q2,"Other Community, Social & Personal Services",550.0
2010.25,2010 Q2,Others,416.666666666667
2010.5,2010 Q3,"Food, Beverages & Tobacco",400.0
2010.5,2010 Q3,Paper/Rubber/Plastic Products & Printing,504.166666666667
2010.5,2010 Q3,"Petroleum, Chemical & Pharmaceutical Products",387.5
2010.5,2010 Q3,"Fabricated Metal Products, Machinery & Equipment",2037.5
2010.5,2010 Q3,"Electronic, Computer & Optical Products",3362.5
2010.5,2010 Q3,Transport Equipment,1312.5
2010.5,2010 Q3,Other Manufacturing Industries,1120.83333333333
2010.5,2010 Q3,Construction,1937.5
2010.5,2010 Q3,Wholesale Trade,3250.0
2010.5,2010 Q3,Retail Trade,1937.5
2010.5,2010 Q3,Land Transport & Supporting Services,837.5
2010.5,2010 Q3,Water Transport & Supporting Services,879.166666666667
2010.5,2010 Q3,Air Transport & Supporting Services,1133.33333333333
2010.5,2010 Q3,Other Transportation & Storage Services,929.166666666667
2010.5,2010 Q3,Accommodation,783.333333333333
2010.5,2010 Q3,Food & Beverage Services,2808.33333333333
2010.5,2010 Q3,"Telecommunications, Broadcasting & Publishing",583.333333333333
