,Oil & Gas,Drilling Engineering,Utilities,Negotiation,Digital Literacy,Project Management,Teamwork,Leadership,Business Management,Instrumentation,Pharmaceutics,Pharmaceutical Manufacturing,Research,Product Testing,Oncology,Organic Chemistry,Food Manufacturing,Food Service Operations,Cooking,Manufacturing Operations,Aerospace Engineering,Air Force,Airlines,Aircraft Management,Composites,Scientific Computing,Machining,Automotive,Customer Experience,Foreign Languages,Maintenance & Repair,Chemical Processing,Architecture,Forestry,Enterprise Software,Printing,Graphic Design,Retail Packaging,Arts & Crafts,Product Marketing,Electronics,Power Systems,Robotics,Plastics,Product Development,Environmental Science,Electronic Control Systems,Computer Hardware,Technical Support,System Administration,Computer Networking,Development Tools,Web Development,Mobile Application Development,Data Storage Technologies,Data Science,Human Computer Interaction,Software Development Life Cycle (SDLC),Cybersecurity,Telecommunications,Digital Marketing,Social Media,Advertising,Materials Science,Software Testing,Video,Photography,Editing,Television,Journalism,Writing,Animation,Commercial Banking,Capital Markets,Financial Accounting,Criminal Law,Communication,Investment Banking,Insurance,Growth Strategies,Law,Contract Law,Labor and Employment Law,Intellectual Property,Family Law,Property Law,Management Consulting,Auditing,Genetic Engineering,Evolutionary Biology,Physiology,Biomedical Engineering,Veterinary Medicine,Agricultural Production,Zoology,Anesthesiology,General Surgery,Tax Accounting,Bookkeeping,Accounts Payable,Management Accounting,Payroll Services,Interior Design,Urban Planning,Construction Engineering,Landscape Architecture,Industrial Design,Teaching,Environmental Consulting,Environmental Engineering,Earth Science,Competitive Strategies,Higher Education,Corporate Communications,Event Planning,Time Management,Theatre,Music,Dance,Wellness,Physical Medicine and Rehabilitation,Personal Coaching,Sports Coaching,Public Health
"Food, Beverages & Tobacco",0.0,0.0,0.0,0.03729485019501086,0.01123299301286993,0.0,0.01123299301286993,0.03729485019501086,0.004132387192257305,0.0,0.0,0.0,0.01123299301286993,0.0,0.0,0.0,0.27557374029214987,0.15123807527428512,0.002770021972951002,0.01123299301286993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001856801256428249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27557374029214987,0.0,0.0,0.0,0.0,0.0,0.06795564769807691,0.10137791358020029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper/Rubber/Plastic Products & Printing,0.0,0.0,0.0,0.014947142094177107,0.014947142094177107,0.004573640933948799,0.0020768159067693828,0.0012269361382317482,0.0035153943031023894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037546221558479524,0.0,0.0,0.0,0.0,0.0,0.0,0.00774173157631967,0.02530079724171091,0.0,0.0020768159067693828,0.02530079724171091,0.18209346829208936,0.0,0.0826856801680119,0.00774173157631967,0.18209346829208936,0.0826856801680119,0.048848840564890444,0.00774173157631967,0.0020768159067693828,0.0,0.0,0.0,0.18209346829208936,0.0826856801680119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Petroleum, Chemical & Pharmaceutical Products",0.20144463411376243,0.09222807404715666,0.05771485397533883,0.022601461559572496,0.012097690600993825,0.0025358137081991157,0.005538726357525863,0.0018552409410156109,0.0013573232679086956,0.0034660463881151632,0.20144463411376243,0.09222807404715666,0.0422250891907311,0.030892535185604784,0.01653558251401998,0.00885085951784797,0.0,0.0,0.0,0.005538726357525863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20144463411376243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fabricated Metal Products, Machinery & Equipment",0.0,0.1061563900687074,0.03432524628616978,0.23778454670398577,0.004216928136356368,0.0016021796728930189,0.013041534047641223,0.03432524628616978,0.0030542262525096757,0.06543402722228907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02115783231181195,0.0,0.0,0.0,0.0,0.0,0.0,0.008038706792322596,0.0,0.0,0.0,0.06543402722228907,0.0,0.0022121074156078472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005822254619343288,0.0,0.23778454670398577,0.0,0.0,0.0,0.14656866621027634,0.013041534047641223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electronic, Computer & Optical Products",0.0,0.0049051253969108035,0.001999395251077011,0.0,0.033560761796747725,0.0029372099817802366,0.08233476844572155,0.0049051253969108035,0.013679819031987218,0.0,0.0,0.0,0.001999395251077011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08233476844572155,0.0,0.0,0.0,0.0013610131365570201,0.0,0.0,0.013679819031987218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033560761796747725,0.1374986351868172,0.02284522665222399,0.0,0.0,0.0,0.0,0.20199225917653385,0.20199225917653385,0.08233476844572155,0.049302410062471144,0.008191533907574593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013679819031987218,0.0049051253969108035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Manufacturing Industries,0.0,0.046370764873587114,0.0,0.026605384968431806,0.14086194600428703,0.008758306169537605,0.002883172976086497,0.005025108124637962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08082002337169122,0.0,0.0,0.0,0.0,0.0,0.0,0.42790080962017457,0.0,0.0,0.0,0.015264930635674027,0.0,0.2455095532558921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Land Transport & Supporting Services,0.0,0.0,0.0,0.2455095532558921,0.046370764873587114,0.0,0.026605384968431806,0.14086194600428703,0.015264930635674027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08082002337169122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42790080962017457,0.008758306169537605,0.005025108124637962,0.002883172976086497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Air Transport & Supporting Services,0.0,0.0,0.0,0.0,0.015264930635674027,0.0,0.008758306169537605,0.002883172976086497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42790080962017457,0.2455095532558921,0.14086194600428703,0.08082002337169122,0.046370764873587114,0.026605384968431806,0.005025108124637962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Telecommunications, Broadcasting & Publishing",0.0,0.0,0.0,0.0,0.001262407720595905,0.015379274432105046,0.061676912779388034,0.0022002617761709546,0.020303607196614337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050627493006223925,0.0022002617761709546,0.0,0.0,0.0,0.0,0.0,0.0,0.04671811065756767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030798476711668975,0.18735791788912115,0.18735791788912115,0.010138642568646503,0.010138642568646503,0.0,0.0050627493006223925,0.0022002617761709546,0.0,0.0,0.08142541546422832,0.030798476711668975,0.18735791788912115,0.10749724629112631,0.0050627493006223925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT & Other Information Services,0.0,0.0,0.0,0.0,0.24937287295267566,0.0023721028596601075,0.007930161459448748,0.0016802612009648023,0.1486668473610558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04446984535751521,0.24937287295267566,0.02231270293548748,0.07459345034493385,0.10530704200842779,0.007930161459448748,0.0033488078958061533,0.02231270293548748,0.04446984535751521,0.007930161459448748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007930161459448748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
